"municipio","valor","unidade","n_canais_alerta","meios_alerta","evidencia","confianca","erro"
"Rolante","verde","semáforo (verde/amarelo/vermelho)","4","redes sociais,rádios locais,telefonia/SMS (telefonia móvel/telefônica),sinais sonoros (alarmes/sirene/audible alarm/sons)","“durante um alerta devem enviar boletins informativos à comunidade via telefone, redes sociais e rádios locais”[ref_id:2][ref_id:3] e “alarme audível” / “sinais sonoros” / “sirenes” como meios de comunicação e alerta”[ref_id:1][ref_id:0][ref_id:4][ref_id:6]","alta",""
"Saldanha Marinho","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento não menciona canais públicos de emissão de alerta (sirene, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais); contém listas de contatos e procedimentos internos como quem aciona o plano e contatos de coordenadores.","alta",""
"Salto do Jacuí","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento contém dados cadastrais e contatos (telefones, e‑mails, coordenador de defesa civil) e lista de riscos; não há menção a sirenes, SMS, carro de som, aplicativo, rádio ou redes sociais como canais de emissão de alerta à população.","alta",""
"Salvador do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Sananduva","amarelo","semáforo (verde/amarelo/vermelho)","1","meios de comunicação (difusão) / disponibilizar informações rápidas à população","Disponibilizar informações rápidas à população, atravez dos meiode comunicação;","media",""
"Santa Bárbara do Sul","amarelo","semáforo (verde/amarelo/vermelho)","1","Publicidade/Anúncios (public notices) / ""divulgação"" (acionamento de mecanismos de aviso ao público) — comunicação via Assessoria/Comunicacao","""Alarme: trigger warning mechanisms and public notices; requires publicity/announcements; communication office handles messaging."" [ref_id:4]","media",""
"Santa Cecília do Sul","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio,Internet","""AVISOS"" (lists Internet, Rádio).","media",""
"Santa Clara do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Os documentos recuperados mostram contato de coordenadores, telefones de órgãos, lista de abrigos e objetivos/acionamento do plano, sem mencionar sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais como meios de emissão de alerta à população.","alta",""
"Santa Cruz do Sul","verde","semáforo (verde/amarelo/vermelho)","6","rádio difusão (Arauto FM, Gazeta AM, Gazeta FM, Santa Cruz AM),WhatsApp (grupos/aviso de difusão),jornal (imprensa escrita),pessoalmente através da equipe (alerta presencial/porta a porta),boletins de informação à imprensa (divulgação de boletins oficiais),mensagem via WhatsApp da 8ª CREPDEC (informe meteorológico)","Informar a comunidade através dos meios de comunicações (rádio difusão - Arauto FM, Gazeta AM, Gazeta FM, Santa Cruz AM), whatsapp, jornais ou pessoalmente através da equipe sobre a EVOLUÇÃO do evento e quais as medidas que estão sendo adotadas; Ademais, deverá se ordenar a transição... Será definido um assessor de comunicação bem como os horários em que serão divulgados os boletins de informação à imprensa.; Adicionalmente, a 8ª CREPDEC enviará mensagem via wathtsApp com informes meteorológicos.","alta",""
"Santa Maria do Herval","amarelo","semáforo (verde/amarelo/vermelho)","2","Internet (redes sociais/website),Rádio","AVISOS Internet, Jornais, Radio, ALERTAS Alerta: Através de meios de comunicação.","media",""
"Santa Maria","verde","semáforo (verde/amarelo/vermelho)","6","sirenes,mensagens de texto (SMS),televisão/rádio,redes sociais,alertas na TV e rádio (mencionado separadamente em contexto vulcânico),aplicativos móveis / alertas em aplicativos móveis","Manter a população informada por meio de canais de comunicação confiáveis, como emissoras de rádio, televisão, redes sociais e mensagens de texto (Defesa Civil, 2024). Emitir alertas de lançamento de materiais vulcânicos por meio de sistemas de alerta público, como sirenes, mensagens de texto, alertas na TV e rádio, redes sociais e outros meios de comunicação (Defesa Civil, 2024). Disponibilizar canais de feedback acessíveis (caixas de sugestões, aplicativos móveis, etc.).","alta",""
"Santa Vitória do Palmar","amarelo","semáforo (verde/amarelo/vermelho)","3","redes sociais oficiais,rádios locais,integração com sistemas estaduais de alerta","Utilização de comunicados oficiais através das redes sociais oficiais, rádios locais e integração com sistemas estaduais de alerta.","alta",""
"Santana da Boa Vista","amarelo","semáforo (verde/amarelo/vermelho)","1","carro de som/alto-falante (sound car)","Que ações devem ser desenvolvidas: numbered actions including alert/monitoring/communication (sound car), contacting involved parties by phone, isolation of site by the public works department, organization of shelters by each responsible party, and distribution of tarps/equipment for first aid.","alta",""
"Santiago","verde","semáforo (verde/amarelo/vermelho)","4","sirenes,SMS / mensagem em massa,rádio,emitir boletins informativos / postar alertas (redes digitais / plataformas de difusão)","Instalar sistemas de alerta precoce (sirenes, SMS, rádios), (Hopeful, 2024). — Estabelecer sistemas de monitoramento e alerta precoce (SMS, rádio, sirenes), (Hopeful, 2024). — Emitir boletins informativos atualizados à população e às equipes em campo (Hopeful, 2024).","alta",""
"Santo Antônio da Patrulha","verde","semáforo (verde/amarelo/vermelho)","5","carro de som/alto-falante,visitas presenciais dos agentes (com alerta direto à população),mídias sociais,rádio (AM/FM),aplicativos/telefone (mensagem em massa)","""O Acionamento se dará pelo COMPDEC, por meio de carro de som e visitas presenciais dos agentes de Defesa Civil a população, e através da mídia sociais, rádio e/ou telefone “aplicativos”.""","alta",""
"Santo Antônio do Palma","amarelo","semáforo (verde/amarelo/vermelho)","2","mídias sociais oficiais do município,grupos de WhatsApp","""notas community notification via official municipal social media, WhatsApp groups and local newspapers""","alta",""
"Santo Antônio do Planalto","amarelo","semáforo (verde/amarelo/vermelho)","1","Imprensa Municipal (campanhas e manter público informado)","5.7 Imprensa Municipal: cooperar com COMPDEC em campanhas de informação pública antes, durante e após eventos e manter a população informada sobre a situação e sua evolução.","media",""
"Santo Expedito do Sul","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site municipal (website),jornais regionais","a comunidade será notificada por radio, o site municipal e jornais regionais","alta",""
"Sapiranga","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documentos do Plano de Contingência e formulários municipais descrevem procedimentos de acionamento, contatos, recursos e ações de socorro/remoção, porém não mencionam meios de EMISSÃO DE ALERTA à população como sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Sapucaia do Sul","verde","semáforo (verde/amarelo/vermelho)","7","carro de som/alto-falante,rádio,redes sociais (Instagram, Facebook),WhatsApp (grupos de difusão),mensagens de texto / SMS,aplicativos,boletins para mídia (TV/imprensa)","Intensificar a comunicação de risco em diferentes veículos de comunicação, incluindo carro de som, rádios, grupos de whatsapp, redes sociais e outras; Usar múltiplos canais (rádios, redes sociais, carro de som, mensagens de texto); Usar todos os meios disponíveis (rádio, TV, redes sociais, carro de som, SMS, aplicativos); a Coordenadoria de Defesa Civil ... será a responsável pela emissão do alerta, estes são repassados através de mensagens de “Whatsapp, Instagram e Facebook” para os órgãos governamentais e para a população do município de sapucaia do Sul.[ref_id:0][ref_id:1][ref_id:3][ref_id:5][ref_id:9]","alta",""
"Segredo","verde","semáforo (verde/amarelo/vermelho)","4","rádio,carro de som/alto-falante,redes sociais (postagem de alerta),agentes comunitários/veiculação comunitária (ex.: divulgação por agentes de saúde)","1) ""uso de local radio, sound trucks and social media (prefeitura and CRAS)."" 2) ""2º momento — disseminação para a população: radio; community health agents; sound truck (municipal communities); social networks."" 3) ""Comunicação: ... use of local radio, sound trucks and social media (prefeitura and CRAS).""","alta",""
"Selbach","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documentos do PLANO DE CONTINGÊNCIA de Selbach/RS (páginas fornecidas) não mencionam sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais como meios de emissão de alerta à população nas páginas recuperadas.","media",""
"Sentinela do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","NÃO há menção a sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio, redes sociais de difusão ou WhatsApp de difusão nas seções recuperadas do Plano de Contingência; listas apresentadas são contatos/telefones de responsáveis, serviços e abrigos (ex.: ""5. LISTA DE CONTATOS"", tabelas de contatos e telefones) e não canais de emissão de alerta à população.","alta",""
"Sertão Santana","verde","semáforo (verde/amarelo/vermelho)","4","sirenes,luzes (giroflex) / rondas da Brigada Militar,mensagens públicas (modelos de Alertas Amarelo/Laranja/Vermelho) — difusão pública,radiocomunicação (rádio / rádio amador como canal resiliente)","“A ordem de evacuação emitida pelo Prefeito será disseminada por todos os canais oficiais. Em apoio, a Brigada Militar realizará rondas nas áreas de risco iminente, utilizando sirenes e luzes (giroflex)…” [ref_id:0] ""ANEXO D: MODELOS DE MENSAGENS DE ALERTA PÚBLICO"" (modelos de alertas Amarelo/Laranja/Vermelho) [ref_id:3] “Radiocomunicação: O CONSEPRO (Moisés) dispõe de equipamento de rádio amador, que servirá como um canal de comunicação secundário e resiliente…” [ref_id:1]","alta",""
"Sertão","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","5.1 Emissão de alerta; Identificação das Pessoas — 5.1 Emitir Alerta (lista de responsáveis e telefones).","media",""
"Severiano de Almeida","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,redes sociais (site da Prefeitura/online),jornais de circulação","A comunidade será avisada por meio de rádio, online (redes sociais e site da Prefeitura Municipal) e jornais de circulação na região.","alta",""
"Silveira Martins","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio, redes sociais ou WhatsApp de difusão para emitir alertas à população; o documento contém contatos e procedimentos de articulação/acionamento de órgãos e responsáveis (listas de telefones e contatos internos) e orientação para informar a imprensa e serviços, mas não descreve canais de emissão direta de alertas à população.","alta",""
"Sobradinho","verde","semáforo (verde/amarelo/vermelho)","4","carro de som/alto-falante,visitas de agentes de Defesa Civil (alerta presencial à população),rádio (rádios locais/comunitárias),e-mail (para divulgação à população/instituições)","O Acionamento se dará por meio de carro de som e visitas dos agentes de Defesa Civil a população, e através da mídia (Rádios), encaminhado e-mail com os dados do porque está sendo dado o alerta","alta",""
"Soledade","amarelo","semáforo (verde/amarelo/vermelho)","1","rádio (difusão),site da Prefeitura/online","""A comunidade será avisada por meio da rádio, on-line (site da Prefeitura Municipal) e jornais de circulação na região."" [ref_id:0]","alta",""
"São Domingos do Sul","verde","semáforo (verde/amarelo/vermelho)","4","Internet,Carro de som/alto-falante,Rádio,Sino da Igreja","Internet, Carro de som, Radio, Sino da Igreja,","alta",""
"São Francisco de Assis","amarelo","semáforo (verde/amarelo/vermelho)","1","WhatsApp (DDD/WhatsApp: 55 32521450)","""DDD/WhatsApp: 55 32521450"" [ref_id:0]","media",""
"São Jerônimo","amarelo","semáforo (verde/amarelo/vermelho)","2","mensagens de SMS (mensagens de celular),internet/boletins/alertas via CENAD (difusão pela internet)","O monitoramento realizado ... através do acompanhamento dos dados do INPE, Instituto Nacional de Meteorologia- INMET, Rede de Meteorologia ... Boletins Meteorológicos da Defesa Civil Estadual e mensagens de SMS.[ref_id:4][ref_id:13]","media",""
"São José do Herval","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","""8 Meios De Comunicação: states that, to avoid dissemination of uncoordinated information, only the Mayor, Vice-Mayor, and the Civil Defense Coordinator may provide information to the media."" [ref_id:12]","alta",""
"São José do Hortêncio","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio comunitária,mídias sociais,grupos de comunicação comunitária","Emissão de alertas preventivos à população por meios oficiais (rádio, mídias sociais, e grupos de comunicação comunitária).","alta",""
"São José do Norte","verde","semáforo (verde/amarelo/vermelho)","5","site da prefeitura,redes sociais,rádios locais,alertas via SMS,grupos comunitários no WhatsApp","Canais oficiais: site da prefeitura, redes sociais, rádios locais  Alertas via SMS: cadastramento no 40199  Grupos comunitários no WhatsApp","alta",""
"São José do Ouro","amarelo","semáforo (verde/amarelo/vermelho)","2","rádio,canais online/veiculação em redes (online channels)","""a comunidade será notificada via radio e online channels""","media",""
"São José do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Nenhum trecho dos documentos recuperados descreve meios de emissão de alerta públicos como sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais para informar a população; itens listados referem‑se a ativação de coordenação, mobilização de órgãos, contatos telefônicos e estoques (ex.: ""o COMPDEC coordenador irá ativar o plano e posto de comando""; listas de telefones/telefones de responsáveis; ""ESTOQUE EMERGENCIAL DO MUNICÍPIO""), os quais não constituem canais de emissão de alerta à população.","alta",""
"São João da Urtiga","amarelo","semáforo (verde/amarelo/vermelho)","1","Divulgação através dos órgãos de comunicação / imprensa (boletins oficiais)","""Difundir, através dor organismos de comunicação, os Boletins Oficiais."" [ref_id:2]","alta",""
"São João do Polêsine","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"São Leopoldo","amarelo","semáforo (verde/amarelo/vermelho)","2","Redes sociais (postagens/entrevistas),Boletins meteorológicos / divulgação de alertas à imprensa (meios de comunicação)","Comunicação - Comunicando através de redes sociais, entrevistas [ref_id:0] || - Informar imprensa e população quanto a possibilidade de evento adverso. - Divulgar o boletim meteorológico para os órgãos e entidades previstos no Plano de Contingência. - Informar os NUPDEC´s e a população das áreas de risco. [ref_id:2]","alta",""
"São Lourenço do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","baixa",""
"São Martinho da Serra","amarelo","semáforo (verde/amarelo/vermelho)","1","rádio (rádio comunitária / Rádio Local Serrana FM)","divulgação nos canais da UBS, Prefeitura e rádio comunitária.[ref_id:0] / Rádio Local Serrana FM[ref_id:0]","alta",""
"São Pedro da Serra","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"São Pedro do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Os documentos mostram apenas texto de acionamento interno com contatos (responsável e telefone) e as palavras ""ATENÇÃO! A DEFESA CIVIL MUNICIPAL ALERTA!""; não descrevem canais de emissão ao público como sirenes, SMS, alto-falantes, aplicativo, rádio ou redes sociais.","alta",""
"São Sebastião do Caí","verde","semáforo (verde/amarelo/vermelho)","7","sirenes,SMS / mensagem em massa,carros de som / alto-falantes,WhatsApp (canal informativo / difusão),rádio (rádio comunitária / parceria com rádios locais),redes sociais do município (Facebook, Instagram, posts/stories),site oficial do município / página dedicada","Divulgar alertas e orientações claras à população sempre que houver risco de chuvas intensas, especialmente em áreas sujeitas a enxurrada (sirenes, SMS, rádio comunitário) [ref_id:1]; CARROS DE SOM (COC) ... Ex 1: “Atenção, moradores! ..."" [ref_id:2]; WHATSAPP (COC) • Canal direto com a comunidade, com envio automático de boletins [ref_id:2]; REDES SOCIAIS DO MUNICÍPIO (COC) • Comunicação direta e imediata... todas as publicações dever ser publicadas no feed e compartilhadas nos stories [ref_id:0]; SITE DO MUNICÍPIO (COC) • Página dedicada à divulgação do Plano de Contingência [ref_id:0]; O quadro a seguir reúne os principais meios de comunicação a serem utilizados... (lista inclui carros de som, WhatsApp, rádios, redes sociais, site) [ref_id:2]","alta",""
"São Sepé","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio (difusão)","Lista de cópias distribuídas inclui ""Rádio Cotrisel"" como destinatário do boletim/Plano","media",""
"São Vendelino","amarelo","semáforo (verde/amarelo/vermelho)","1","boletins oficiais (horários fixos) / porta-voz","As informações serão divulgadas através de boletins oficiais, que serão emitidos de acordo com as seguintes diretrizes: • Horários Fixos: Os boletins serão divulgados em horários pré-definidos, preferencialmente na parte da manhã e ao final do dia.","media",""
"São Vicente do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2","Rádio (difusão) ,Departamento Municipal de Comunicação / divulgação de boletins oficiais (imprensa)","Rádio Nova Manhã FM (55) 3257 2318; Rádio São Vicente FM (55) 3257 2131; Departamento Municipal de Comunicação (IMPRENSA) *Difundir, através dos organismos de comunicação, os boletins oficiais.* [ref_id:5][ref_id:6]","alta",""
"Sério","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O monitoramento é realizado pela Secretaria da Agricultura e Meio Ambiente, em conjunto com a Coordenadoria Municipal de Proteção e Defesa Civil. Os alertas à população são emitidos diretamente pelo poder público, por meio da Coordenadoria Municipal de Proteção e Defesa Civil.","media",""
"Tabaí","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento contém seções sobre objetivos, acionamento do plano, áreas de risco, lista de abrigos e resumo de recursos (postos, plantões, escolas, máquinas), sem mencionar sirenes, SMS, carro de som, aplicativo, rádio ou redes sociais como meios de emissão de alerta à população.","alta",""
"Tapejara","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio (difusão) - estações locais mencionadas (Radio Tapejara FM 101.5; Rádio Caiobá FM 100.7; Rádio Nova FM 104.9)","Radio Tapejara FM 101.5 Rua Amancio Cardoso, 592 – Centro (54) 3344 1185 [ref_id:0]","media",""
"Tapera","verde","semáforo (verde/amarelo/vermelho)","7","rádio local,carro de som/alto-falantes em comunidades rurais,grupos de WhatsApp oficiais,SMS/mensagem em massa,site da Prefeitura,redes sociais,rádios comunitárias/Central de Rádio da Brigada Militar (transmissão pública)","""Canais de divulgação: rádio local, carro de som, grupos de WhatsApp oficiais, SMS, site da Prefeitura, redes sociais, rádios comunitárias e alto-falantes em comunidades rurais."" [ref_id:0][ref_id:12]","alta",""
"Tapes","amarelo","semáforo (verde/amarelo/vermelho)","1","Comunicação / divulgação pública (mensagens/postagens públicas)","5. Que ações devem ser desenvolvidas?: ... 5.3 avisar a população; ... 2) Monitoramento e Alerta (durante o evento) — responsabilidade: Defesa Civil, Meteorologia e Comunicação; ... emitir alertas oficiais, mobilizar equipes de resposta.","media",""
"Taquara","amarelo","semáforo (verde/amarelo/vermelho)","1","redes sociais (página Defesa Civil de Taquara)","o município emite alertas nas redes sociais (especialmente na página Defesa Civil de Taquara) alcançando milhares","alta",""
"Taquari","verde","semáforo (verde/amarelo/vermelho)","5","internet (site/portal) e redes sociais,jornal (imprensa) e rádio local,telefone (mensagem/telefonema) - usado para alertas à população,carro de som/alto‑falante (veículo de sonorização),notas/veiculação pela imprensa (divulgação pela Secretaria de Comunicação)","""...emite alertas preventivos... divulgação dos canais: internet, jornais e rádio local, telefone, veículo de sonorização...""","alta",""
"Tavares","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Teutônia","amarelo","semáforo (verde/amarelo/vermelho)","1","emissão de alertas por parte da Defesa Civil Municipal (padronizada conforme Anexo H)","A emissão de alertas por parte da Defesa Civil Municipal deve obedecer os padrões conforme “Anexo H”. [ref_id:0][ref_id:1]","media",""
"Tio Hugo","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site da Prefeitura / on-line,redes sociais do Município","A comunidade será avisada por meio de rádio, on-line (site da Prefeitura Municipal e redes sociais do Município) e jornais de circulação na região.","alta",""
"Toropi","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento descreve objetivos, acionadores, monitoramento, alerta e alarme, e lista contatos institucionais (telefone e e-mail da prefeitura e do coordenador de Defesa Civil), mas não menciona meios específicos de emissão de alerta à população como sirenes, SMS, carro de som, aplicativo, rádio ou redes sociais.","alta",""
"Travesseiro","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Triunfo","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","ALERTAS Responsável: Vagner Pires Pinheiro Telefone/Celular: (51) 98198-7888 Alerta: Alerta de Temporais, queda de granizo, chuvas, e possíveis Inundações. ALARMES Responsável: Vagner Pires Pinheiro Telefone/Celular: (51) 98198-7888 Alarme: Alerta de Temporais, queda de granizo, chuvas, e possíveis Inundações.","alta",""
"Três Arroios","verde","semáforo (verde/amarelo/vermelho)","4","rádio,redes sociais (mídias sociais e site municipal),online (site municipal),jornal regional (difusão)","“Comunidade será notificada via radio, online (social media and municipal website) and regional newspapers.” [ref_id:0]","alta",""
"Três Coroas","amarelo","semáforo (verde/amarelo/vermelho)","1","rádio (comunicação/difusão)","os órgãos mobilizados ativarão os protocolos internos definidos de acordo com o nível da ativação (atenção, alerta, alarme e resposta). ... podendo ser chamado pelos diversos meios de comunicação como telefones, rádios, e-mails, etc...","media",""
"Tunas","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","baixa",""
"Tupanci do Sul","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio (Rádio Poatã de São José do Ouro),sites da prefeitura,grupos de WhatsApp","Em caso de ocorrência de evento será disparado alertas na rádio Poatã de São José do Ouro. Também informará em sites da prefeitura e grupos de watsapp.","alta",""
"Tupanciretã","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","baixa",""
"Tupandi","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","baixa",""
"Turuçu","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","documento apresenta campos de contatos (telefones, e‑mails) e responsáveis e descreve áreas de risco e acionamento do plano, sem menção a sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais para emissão de alerta à população.","alta",""
"Unistalda","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Vale Real","verde","semáforo (verde/amarelo/vermelho)","5","sirenes,mensagens via celular/Cell Broadcast/SMS,rádios comunitárias,redes sociais,mensagens em massa/WhatsApp de difusão (implícito em 'mensagens via celular')","Sistema de alerta: sirenes, mensagens via celular, Cell Broadcast, rádios comunitárias, redes sociais;","alta",""
"Vale Verde","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a meios de emissão de alerta à população (sirene, SMS/mensagem em massa, alto-falante/carro de som, aplicativo, rádio, redes sociais, WhatsApp de difusão) nos documentos do Plano de Contingência do município; constam apenas contatos/telefones de responsáveis, recursos e ações gerais (ex.: ""Levar informação quanto ao risco de algum evento adverso"")","alta",""
"Vanini","verde","semáforo (verde/amarelo/vermelho)","4","Internet,Carro de som,Rádio,Jornais","AVISOS Internet, Carro de som, Jornais, Radio, Telefone,","alta",""
"Venâncio Aires","verde","semáforo (verde/amarelo/vermelho)","5","WhatsApp (grupos/informes meteorológicos e comunicação de alerta),Rádio,Internet (sites/redes sociais/internet em geral),Jornais (impressos),Avisos presenciais/boletins e em pessoa","""Adicionalmente, a 8ª CREPDEC e a DEFESA CIVIL VRP enviam mensagens via WhatsApp com informes meteorológicos."" ""guidance to inform the community via radio, internet, WhatsApp groups, newspapers and in person about event evolution and measures.""","alta",""
"Vera Cruz","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio, redes sociais de difusão ou WhatsApp de difusão no texto do PLANCON recuperado para Vera Cruz.","alta",""
"Vespasiano Corrêa","amarelo","semáforo (verde/amarelo/vermelho)","3","radio,redes sociais,carro de som/alto-falante","Comunicação por rádio, redes sociais e carro de som","alta",""
"Viadutos","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","baixa",""
"Viamão","verde","semáforo (verde/amarelo/vermelho)","5","Redes sociais oficiais da Prefeitura,Mensagens de emergência nos grupos de WhatsApp,Equipes da Defesa Civil com megafones,Via imprensa oficial municipal,Mensagens de alerta (conteúdo descrito: data/hora, situação, áreas afetadas, orientações)","Meios de Divulgação – Via imprensa oficial municipal - Redes sociais oficiais da Prefeitura; ... Meios de Acionamento – Via imprensa oficial municipal - Mensagens de emergência nos grupos de WhatsApp. - Equipes da Defesa Civil com megafones; A mensagem de alerta deverá conter: - Data e hora da emissão; - Situação atual - Previsão de evolução; - Áreas potencialmente afetadas; - Orientações para a população;","alta",""
"Victor Graeff","verde","semáforo (verde/amarelo/vermelho)","5","rádio,site da Prefeitura (online),WhatsApp (grupos),Facebook/Instagram (redes sociais),jornais locais (difusão)","""a comunidade será notificada por rádio, online (site do Prefeitura Municipal), WhatsApp groups, Facebook, Instagram e jornais locais""","alta",""
"Vila Lângaro","verde","semáforo (verde/amarelo/vermelho)","4","rádio,carros de som/alto-falante,site da Prefeitura (on-line),redes sociais do município","A comunidade será avisada por meio da rádio, carros de som, on-line (site da Prefeitura Municipal e redes sociais do município). [ref_id:0]","alta",""
"Vila Maria","amarelo","semáforo (verde/amarelo/vermelho)","3","Internet,Rádio,Sino da Igreja","AVISOS \nInternet, Radio, Sino da Igreja.","alta",""
"Vila Nova do Sul","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio (Rádio Pampiana FM)","""6.1 Mobilização para informação e alertas\n\nSincero Brites Rádio \nPampiana FM \n\n(55) 99731-\n8787""","alta",""
"Westfália","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS, carro de som/alto-falante, aplicativo, rádio ou redes sociais para emissão de alertas à população no documento recuperado.","alta",""
"Água Santa","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site municipal (website),jornais locais","a comunidade será notificada via radio, site municipal e jornais locais.","alta",""
"Áurea","verde","semáforo (verde/amarelo/vermelho)","5","Internet,Telefone,Rádio,Carro de Som,Sino da Igreja","Internet, Telefone, Rádio, Carro de Som, Sino da Igreja.","alta",""
