"municipio","valor","unidade","n_nupdecs","nupdec_futuro","grupos_comunitarios","evidencia","confianca","erro"
"Santa Clara do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Nos documentos do Plano de Contingência de Santa Clara do Sul não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados; aparecem listas de abrigos, equipe de gestão e grupos/recursos, mas nenhum texto identifica NUPDEC(s) formalizados.","alta",""
"Santa Cruz do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","N/A","alta",""
"Santa Maria do Herval","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s) ou Núcleos Comunitários de Proteção e Defesa Civil no plano; o documento lista ações, abrigos e estoques, mas não cita núcleos formalizados.","alta",""
"Santa Maria","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","PRINCIPAIS CONTATOS VOLUNTARIADO (INDIVÍDUOS E INSTITUIÇÕES)➔ ● Cruz Vermelha Brasileira de Santa Maria - ● Lions Club - ● OIDETAM BRASIL - ● Rotary Vento Norte - ● Escoteiros - ● Defesa Civil -","alta",""
"Santa Vitória do Palmar","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista abrigos, responsáveis, estoques e equipes municipais (Coord. Defesa Civil, adjunto, secretarias, bombeiros, SAMU) e procedimentos, sem referência a NUPDEC(s)/NUDEC(s) existentes ou à organização futura de NUPDECs.","alta",""
"Santana da Boa Vista","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Tabela 'INFORMAÇÕES GERAIS' lista 'Voluntários de Defesa Civil (05)' e documento 'Lista De Abrigos' relaciona 3 abrigos; não há menção a NUPDEC/NÚCLEO já formalizado no plano (apenas voluntários e abrigos).","alta",""
"Santiago","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""Convocação de voluntários de acordo com as áreas de atuação.""","alta",""
"Santo Antônio da Patrulha","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","“A instalação se dará com a convocação dos voluntários “Defesa Civil” e Comissão de Enfrentamento de Desastres” [ref_id:8] — e lista recursos humanos previstos incluindo “05 voluntários de COMPDEC” [ref_id:13]","alta",""
"Santo Antônio do Palma","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista ações, responsáveis e voluntários para recebimento e distribuição de doações e cita a Coordenação Municipal de Defesa Civil, mas não apresenta menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no município.","alta",""
"Santo Antônio do Planalto","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista órgãos, responsabilidades, abrigo disponível, recursos e ações a serem desenvolvidas, mas não menciona NUPDEC/NUDEC já existentes nem cita núcleos comunitários formalizados.","alta",""
"Santo Expedito do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","O documento indica que o município ""tem bombeiros voluntários e apoio do Lagoa Vermelha/RS 5º BBM."" [ref_id:3]","alta",""
"Sapiranga","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Documento lista ""Voluntários de Defesa Civil"" no resumo de recursos; não há menção a NUPDEC/NUDEC ou núcleos formalmente constituídos no Plano de Contingência (apenas ações, recursos, abrigos e responsabilidades listadas).","alta",""
"Sapucaia do Sul","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","NUPDEC: Núcleo Comunitário de Proteção e Defesa Civil – grupo comunitário organizado para apoio nas ações locais de prevenção e resposta.","alta",""
"Segredo","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Tabela 'Informações Gerais' lista 'Voluntários de Defesa Civil — 01' e 'Lista de abrigos' com Parque de Eventos Municipal Padre João Pasa (capacidade 800). Não há menção a NUPDEC/NUDEC ou a núcleos comunitários formalizados no documento recuperado.","alta",""
"Selbach","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento lista ""Defesa Civil — 1 — Fabricio Schneider — 3387-1144"" e recursos/contatos, sem menção a NUPDEC(s)/NUDEC(s) existentes ou a criação futura de NUPDEC; não há referência a núcleos formalizados no texto recuperado.","alta",""
"Sentinela do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Seções do PLANCON listam ""LISTA DE VOLUNTÁRIOS"" com 16 entradas [ref_id:8] e tabela ""Voluntários Defesa Civil: Quantidade 15; Responsável Eva Meireles"" [ref_id:12]; não há menção a NUPDEC/NUDEC formalizados no documento (pesquisa nos anexos e sumário não mostra núcleos formalizados) [ref_id:19][ref_id:25].","alta",""
"Sertão Santana","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Mapa e cadastro de representantes ou líderes comunitários; referências a ""BOMBEIROS CIVIS VOLUNTÁRIOS"", ""Ponto de Recepção de Voluntários...para cadastrar voluntários"" e itens que indicam mapear voluntários e organizar voluntários para cozinha e limpeza.","alta",""
"Sertão","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","menção a Voluntários de Defesa Civil (lista de recursos) e outros recursos locais (ex.: escolas, hospitais, veículos) conforme quadro de recursos","""Voluntários de Defesa Civil — responsáveis: Caroline Cremonese Bernardon."" [ref_id:6]","alta",""
"Severiano de Almeida","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no documento do PLANO DE CONTINGÊNCIA do Município de Severiano de Almeida/RS; menciona somente ações, responsáveis, lista de abrigos e voluntários em ações genéricas (ex.: ""Recebimento, organização e distribuição de doações com a participação de membros da Coordenadoria Municipal De Defesa Civil e voluntários""). [ref_id:0][ref_id:2][ref_id:3]","alta",""
"Silveira Martins","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC formalizados no documento; apenas listas de abrigos, contatos, recursos e ações a desenvolver (ex.: ""Lista De Abrigos"", ""RESUMO DOS RECURSOS"", procedimentos de acionamento e contatos) [ref_id:4][ref_id:6][ref_id:1]","alta",""
"Sobradinho","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","“A instalação se dará com a convocação dos voluntários e responsáveis pelas entidades envolvidas no Plano de Contingência”[ref_id:11][ref_id:4] e ""Recursos Mínimos Previstos - Humanos: - 10 Voluntários da Defesa Civil""[ref_id:14]","alta",""
"Soledade","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","Recebimento, organização e distribuição de doações com a participação de membros da Coordenadoria Municipal de Defesa Civil e voluntários; atendimento aos grupos com necessidades especiais.","alta",""
"São Domingos do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","O documento lista COMPEDEC (Coordenação municipal de proteção e defesa civil) e atividades/abrigos, sem mencionar NUPDEC(s) ou Núcleos Comunitários de Proteção e Defesa Civil existentes; não há indicação de NUPDEC já formalizado no texto recuperado.","alta",""
"São Francisco de Assis","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Treinamentos para voluntários da Defesa Civil Municipal.","alta",""
"São Jerônimo","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC já existentes no documento recuperado; referências tratam do Grupo de Ações Coordenadas (GRAC), cadastramento de equipes técnicas e de voluntários e criação/organização de procedimentos do PLAMCON (ex.: ""cadastramento das equipes técnicas e de voluntários para atuarem em circunstâncias de desastres""). [ref_id:5][ref_id:7][ref_id:12]","alta",""
"São José do Herval","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Coordenadoria Municipal de Defesa Civil: nome do coordenador, telefone, e‑mail (identificado como Coordenadoria Municipal de Defesa Civil) e lista de responsabilidades/ações do Coordenador Municipal de Defesa Civil; há também tabela 'Acionar equipe da Defesa Civil Municipal' e 'IDENTIFICAÇÃO DE ÓRGÃOS' listando Defesa Civil municipal com telefone","media",""
"São José do Hortêncio","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","Plano lista ações, responsáveis e voluntários (ex.: ""Voluntários de Defesa Civil"" apareceu no resumo de recursos) e menciona Corpo de Bombeiros Voluntário Municipal, mas não cita NUPDEC/NUDEC existente.","alta",""
"São José do Norte","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","“Voluntários Defesa Civil 15 Jonas Costa (53) 999417910”","alta",""
"São José do Ouro","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Recebimento, organização e distribuição de doações com participação de membros da Coordenadoria Municipal de Defesa Civil e voluntários; atendimento aos grupos com necessidades especiais.[ref_id:4] Além disso, ações listam Bombeiros Voluntários e outras secretarias como órgãos atuantes.[ref_id:1]","alta",""
"São José do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","sim","sim","“O município está em fase de elaboração do Conselho da Defesa Civil.” [ref_id:19] e lista de recursos mostra campos para ""Voluntários / Defesa Civil"" em branco; plano descreve ações envolvendo ""voluntários"" e ""mobilizar recursos"" mas não lista NUPDEC(s) formalizados [ref_id:2][ref_id:15][ref_id:16][ref_id:19][ref_id:20]","alta",""
"São João da Urtiga","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Jaquelini Bacchi Coordenadora Municipal de Proteção e Defesa Civil","alta",""
"São João do Polêsine","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 01 Jair José Marchesan Giacomini 55 9 8108-5451","alta",""
"São Leopoldo","vermelho","semáforo (verde/amarelo/vermelho)","0","sim","N/A","13.2.5.2 NUPDEC´s \n\nA definir","alta",""
"São Lourenço do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","N/A","baixa",""
"São Martinho da Serra","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","No documento não há menção a NUPDEC(s)/NUDEC(s) existentes ou formalizados; aparecem referências a Defesa Civil municipal e 'apoio e organizar o trabalho de voluntários', além de locais de abrigo que 'será(ão) utilizado(s)', sem listar NUPDECs formalizados.","alta",""
"São Pedro da Serra","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 1 Odinei Leidens 051998790497","alta",""
"São Pedro do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC(s)/NUDEC(s) existentes ou a grupos voluntários no documento; somente informações sobre contatos, recursos, riscos e instrução para ativar mecanismos do plano de contingência.","alta",""
"São Sebastião do Caí","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no documento recuperado; o texto descreve estrutura de comando, abrigos temporários, monitoramento e listagem de órgãos e contatos, sem citar núcleos comunitários formalizados.","alta",""
"São Sepé","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Lista de voluntários responsáveis pelos distritos do município (ex.: 1º Distrito (Sede Municipal) — 16 responsáveis listados) indicando responsáveis/voluntários por distrito; não há menção a NUPDEC/NUDEC já formalizados no texto recuperado.","alta",""
"São Vendelino","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","N/A","23 – NÚCLEO COMUNITÁRIO DE PROTEÇÃO E DEFESA CIVIL: NOME / CONTATO BAIRRO FUNÇÃO","alta",""
"São Vicente do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a ""Voluntários de Defesa Civil 10"" e veículos/voluntários listados","""Voluntários de Defesa Civil 10 Clanilton Salvador (55) 99999 1025""","alta",""
"Sério","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista instituições (Coordenadoria Municipal de Proteção e Defesa Civil - COMPDEC) e assinaturas, descreve atribuições e cenários, mas não cita Núcleos Comunitários de Proteção e Defesa Civil (NUPDEC/NUDEC) existentes ou voluntários organizados como NUPDEC.","alta",""
"Tabaí","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento: ""Plano de Contingência de Proteção e Defesa Civil."" (conteúdo do plano e formulário municipal recuperados não citam NUPDEC/NUDEC existentes nem mencionam voluntários/grupos; lista de abrigos e recursos municipais apenas).","alta",""
"Tapejara","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","N/A","alta",""
"Tapera","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Apoio Comunitário e Institucional • Cooperativas locais (agropecuárias e de crédito) • Sindicato dos Trabalhadores Rurais • Associações comunitárias urbanas e rurais • Entidades religiosas (igrejas, pastorais, grupos missionários) • Organizações não governamentais e grupos de voluntários","alta",""
"Tapes","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento lista ""Defesa Civil"", ""Cadastro de voluntários"" e ""Lista de abrigos"" e menciona ""civil defense volunteers"" no resumo dos recursos, sem citar NUPDEC(s) formalizados.","alta",""
"Taquara","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","menção a voluntários e recursos humanos voluntários (ex.: ""Voluntário — efetivo entre servidores, munícipes e voluntários."")","""Voluntário — efetivo entre servidores, munícipes e voluntários. Quantidade total 25; destinada 25."" [ref_id:7]","alta",""
"Taquari","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","ANEXO I — ESTADOS DO PLANO DE CONTINGÊNCIA: AÇÕES (ALERTA) — '...manter NUDEC’s informados;' e Fluxograma/Quadro de níveis que lista 'NUDEC' entre as organizações envolvidas.","alta",""
"Tavares","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento PLANO DE CONTINGÊNCIA Município de Tavares/ RS (16/01/2025) — não contém menção a NUPDEC/NUDEC nem a núcleos formalizados de proteção e defesa civil nas páginas recuperadas; só lista dados cadastrais, riscos e contatos municipais.","alta",""
"Teutônia","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O presente plano tem por finalidade regular as ações dos órgãos governamentais e da sociedade organizada antes, durante e após eventos adversos no município de Teutônia/RS.","alta",""
"Tio Hugo","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento lista Coordenadoria Municipal de Defesa Civil, abrigos municipais e atores (Corpo de Bombeiros, Brigada Militar), mas não cita NUPDEC(s)/NUDEC(s) existentes nem menciona núcleos comunitários formalizados.","alta",""
"Toropi","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil: 16","alta",""
"Travesseiro","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados no documento; aparece apenas identificação de responsáveis, recursos e abrigos (ex.: ""Lista de Abrigos."") [ref_id:2][ref_id:3]","alta",""
"Triunfo","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Nenhum documento foi anexado.","alta",""
"Três Arroios","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista ações com participação de ""coordenadores municipais de defesa civil e voluntários"" e procedimentos de ativação, mas não cita NUPDEC(s)/NUDEC(s) já existentes nem indica núcleos formalizados no município.","alta",""
"Três Coroas","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","“Informar os Agentes Voluntários da Defesa Civil municipal, órgãos municipais (Secretarias e Diretorias), órgãos voluntários (jipeiros, barqueiros, empresas de rafting e rádio amadores) e afins a situação.” [ref_id:7] / “Grupo destinado a voluntários que irão prestar apoio...” [ref_id:13] / Lista de contatos inclui 'CLUBE DOS JIPEIROS DE TC' e outros voluntários/organizações listados, sem menção a NUPDEC formalizado. [ref_id:21]","alta",""
"Tunas","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 01 Cristiane dos Santos 51-982107029","alta",""
"Tupanci do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento do Plano de Contingência municipal de Tupanci do Sul (SEGIRD) não cita NUPDEC(s)/NUDEC(s) existentes nem menciona núcleos comunitários formalizados; contém informações sobre Coordenador Municipal de Defesa Civil, abrigos e voluntários não formalizados (ex.: responsáveis e contatos) mas não há referência a NUPDEC formalizados.","alta",""
"Tupanciretã","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","5.1 – Reunião com os membros, voluntários e entidades ligadas a Defesa Civil (Companhias de Energia Elétrica, Bombeiros e Brigada Militar)"" e ""Voluntários de Defesa Civil 17""","alta",""
"Tupandi","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a colaboração voluntária e acordo com corpo de bombeiros/brigada militar e grupos comunitários","""o município tem ... convênios com hospitais e o corpo de bombeiros""; ""tem um acordo com o corpo de bombeiros e pode contar com colaboração voluntária de grupos comunitários em emergências""","alta",""
"Turuçu","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil: Quant 4 — Responsáveis: Vagner Krause ...; Lista De Abrigos (Abrigo I, Abrigo II, Abrigo III) — identifica abrigos e responsáveis mas não menciona NUPDEC/NUDEC formalizado.","alta",""
"Unistalda","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC já constituídos no documento; menciona-se a COMPDEC (Comissão/Coordenação Municipal de Defesa Civil) e mobilização de órgãos e abrigos, por exemplo: ""Acionar Equipe da COMPDEC Pedro Vicente Fernandes de Medeiros"" e lista de abrigos como ""Ginasio de Esportes Heron Ribeiro""","alta",""
"Vale Real","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Mobilização de voluntários e brigadas cadastradas; Voluntários Apoio logístico, comunicação, atendimento inicial à população; Demais Secretarias Municipais, Voluntários","alta",""
"Vale Verde","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Documentos mencionam ""Voluntários de Defesa Civil: 01"" e ações envolvendo ""voluntários bombeiros"" e ""Bombeiros Voluntários""; não há citação de NUPDEC(s) ou NUDEC(s) formalizados no plano.","alta",""
"Vanini","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC já existentes ou formalizados no documento do PLANCON; o texto lista responsáveis municipais e abrigos, mas não cita nenhum 'Núcleo Comunitário de Proteção e Defesa Civil' formalizado.","alta",""
"Venâncio Aires","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","VOLUNTÁRIOS SOCORRISTAS (RESPONSÁVEL) ... Ubiratan Carini Castro (Bira) (51) 3793-0265; VOLUNTÁRIOS GERAIS (RESPONSÁVEL) (cadastramento, gerenciamento do banco de dados dos voluntários, contato e direcionamento dos voluntários por aptidão) [ref_id:9]","alta",""
"Vera Cruz","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Plano de Contingência... INSTITUIÇÕES ENVOLVIDAS — Defesa Civil de Vera Cruz — Coordenador Municipal de Defesa Civil Gilson Adriano Becker","alta",""
"Vespasiano Corrêa","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento descreve estrutura operacional da Defesa Civil Municipal, medidas preventivas, preparo de voluntários e uso de locais como Salão Paroquial e Campão como abrigo, sem citar NUPDEC(s)/NUDEC(s) existentes ou formalizados.","alta",""
"Viadutos","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Nenhum documento foi anexado.","alta",""
"Viamão","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento do Plano de Contingência de Viamão/RS (março/2026) não menciona NUPDEC(s)/NUDEC(s) formalizados nem cita criação futura de NUPDEC; apresenta apenas estrutura institucional (Coordenadoria Municipal de Defesa Civil, Corpo de Bombeiros, Secretarias) e responsabilidades institucionais.","alta",""
"Victor Graeff","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""Suporte será fornecido por COMPDEC, Brigada Militar, secretarias municipais e entidades civis organizadas do município de Victor Graeff, listando recursos (pessoal, máquinas, voluntários, veículos municipais)."" [ref_id:3]","alta",""
"Vila Lângaro","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários (Voluntários de Defesa Civil) e lista de abrigos/recursos comunitários","""Voluntários de Defesa Civil""; ""Lista de Abrigos"" (Ginásio Municipal... Responsável: Prefeitura Municipal) — não há menção a NUPDEC/NUDEC formalizado nem núcleos já existentes listados no documento","alta",""
"Vila Maria","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento do Plano de Contingência Municipal de Vila Maria contém nomeações, abrigos e ações a serem desenvolvidas, sem mencionar NUPDEC/NUDEC ou núcleos comunitários formalizados em funcionamento (ex.: ""Portaria 363-2023 Nomeação Coordenador Executivo, Conselho, Secretaria Executiva e designa o Setor Técnico e Setor Operacional da Coordenadoria Municipal Proteção e Defesa Civil"")","alta",""
"Vila Nova do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 10 Leonardo Rossato Piovesam (55) 99697-3411","alta",""
"Westfália","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NÚCLEOS COMUNITÁRIOS DE PROTEÇÃO E DEFESA CIVIL (NUPDEC/NUDEC) existentes; o plano lista responsáveis, abrigos e recursos, mas não cita NUPDEC formalizados.","alta",""
"Água Santa","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Coordenador Municipal de Defesa Civil: ... produzindo boletins oficiais e enviando-os ao Departamento de Comunicação; contactando responsáveis por abrigos e demais órgãos municipais quanto à possível mobilização; montando o Posto de Comando para ativação do plano; mantendo contato com serviços meteorológicos; realizando levantamento ao final de plantão nos abrigos.","media",""
"Áurea","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes e formalizados no documento do Plano de Contingência de Áurea/RS; o documento lista COMDEC, contatos, ações e abrigos, mas não cita núcleos comunitários formalizados.","alta",""
