"municipio","valor","unidade","abrigos_listados","vagas_abrigos","populacao_area_risco","evidencia","confianca","erro"
"Nicolau Vergueiro","verde","semáforo (verde/amarelo/vermelho)","sim","340","1932","Lista De Abrigos ... Abrigo I ... Ginásio Recreativo 25 de Julho ... Capacity: 200 pessoas; Abrigo II ... Ginásio da Paróquia Santa Terezinha ... Capacity: 120 pessoas; Abrigo III ... Parque Poliesportivo Municipal ... Capacity: 20 pessoas; DADOS DO MUNICÍPIO ... population 1,932 (Censo IBGE 2023)","alta",""
"Nova Alvorada","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","3163","ABRIGOS - 1 Tipo: GINASIO Nome: Ginásio Municipal de Esportes Endereço: Av. Frei Manoel, 1718, centro Área disponível para alojamento(m²): 700","alta",""
"Nova Bréscia","verde","semáforo (verde/amarelo/vermelho)","sim","450","N/A","Abrigo I Identificação: Ginásio Municipal de Esportes Endereço: Rua Osório, 080 – Centro – Nova Bréscia – RS. Capacidade: 250 pessoas[ref_id:0] Abrigo II Identificação: GINÁSIO MUNICIPAL DE ESPORTES Endereço: RUA MADRE ASSUNTA, JUNTO A ESCOLA Capacidade: 200 pessoas[ref_id:0]","alta",""
"Nova Esperança do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","3654","4865","Abrigo I - Ginásio Municipal, Rua Voluntários da Pátria, Centro, Nova Esperança do Sul/RS - Capacidade: 1400 pessoas; Abrigo II - Escola Municipal São José, Rua Ipiranga, 625, Centro, Nova Esperança do Sul - Capacidade: 717 pessoas; Abrigo III - Ginásio Estadual / Colégio Estadual José Benincá, Rua Redenzio Frizzo, Cidade Alta, Nova Esperança do Sul/RS - Capacidade: 1537 pessoas; População: 4,865.","alta",""
"Nova Hartz","verde","semáforo (verde/amarelo/vermelho)","sim","10 famílias","20.088 habitantes","Lista de abrigos: ""Abrigo I Identificação: Associação recreativa e cultural irmãos unidos de canudos Endereço: ESTR CANUDOS ESQUERDA 2565 ZONA RURAL ... Capacidade: 10 familias""; População: ""População: 20.088 habitantes"" [ref_id:0][ref_id:3]","alta",""
"Nova Palma","verde","semáforo (verde/amarelo/vermelho)","sim","1500","N/A","Abrigo I: Ginásio Municipal ... Capacidade 200; Abrigo II: Ginásio da Escola Municipal Profª Cândida Zasso ... Capacidade 200; Abrigo III: Salão Paroquial Pe. Otávio Ferrari ... Capacidade 500; Abrigo IV: Clube Guarani ... Capacidade 200; Abrigo V: (cada) Capacidade 200; Abrigo VI: (cada) Capacidade 200; Abrigo VII: (cada) Capacidade 200","alta",""
"Nova Santa Rita","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","aprox. 29,000","""Áreas de Risco do Município"": tabela com colunas Local / Risco / Observações. Entradas listadas ... Bairro Berto Círio ... Bairro Morretes ... Bairro Porto da Figueira ... Bairro Céu Azul."" [ref_id:11][ref_id:3]","alta",""
"Novo Cabrais","verde","semáforo (verde/amarelo/vermelho)","sim","1000","3568","Abrigo I Identificação: Centro de Eventos Endereço: Avenida 28 de Dezembro Capacidade: 300 pessoas[Abrigo II Identificação: Quadra Coberta Endereço: Rincão Bonito Capacidade: 300 pessoas][Abrigo III Identificação: Pavilhão Comunidade São Cláudio Endereço: Cortado Capacidade: 400 pessoas][População: 3.568 habitantes]","alta",""
"Novo Hamburgo","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","Quantidade de pessoas em risco: aproximadamente 320 [ref_id:11]","Nossa Senhora Aparecida Endereço: Rua Da Cooperativa, 200, Bairro Santo Afonso, NH (Ao lado da capela) [ref_id:11]","media",""
"Não-Me-Toque","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","950","Nome: Ginásio Arlindo Hermes; Endereço: Rua Luiz Fernando Roos, s/n; Área disponível para alojamento(m²): 700. Nome: Ginásio Municipal Harry Alberto Erpen; Endereço: Rua Fernando Sturm; Área disponível para alojamento(m²): 680. Identificação dos possíveis danos - Nº de afetados: 950","alta",""
"Paim Filho","verde","semáforo (verde/amarelo/vermelho)","sim","600","N/A","Identificação: Ginásio Municipal Endereço: Rua João Lacerda, S/N – Centro Capacidade: 600 Banheiros ( x ) sim Cozinha ( x ) sim Almoxarifado ( x ) sim","alta",""
"Pantano Grande","verde","semáforo (verde/amarelo/vermelho)","sim","360","10212","Lista de Abrigos ... Capacidade (both list 60 pessoas) [Abrigo 1/Abrigo 2/Abrigo 3/Abrigo 4/Abrigo 7]; Identificação das Pessoas ... tornando disponíveis vários abrigos (ginásio, salão paroquial, várias escolas e salões comunitários); MUNICÍPIO ... população (10,212)","alta",""
"Paraíso do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","550","N/A","Identificação: Ginásio Poliesportivo Padeirão ... Endereço: Rua G ... Capacidade: 550 pessoas","alta",""
"Pareci Novo","verde","semáforo (verde/amarelo/vermelho)","sim","700","4.319","Identificação: Ginásio Municipal; Endereço: Rua Alonso Remi Dietrich, 30 - Centro; Capacidade: 700 pessoas [ref_id:4] || estimativa população 4.319 (IBGE 2022) [ref_id:2]","alta",""
"Parobé","verde","semáforo (verde/amarelo/vermelho)","sim","500","52000","Lista De Abrigos ... Abrigo I ... Capacidade: 80 pessoas ... Abrigo II ... Capacidade: 100 pessoas ... Abrigo III ... Capacidade: 80 pessoas ... Abrigo IV ... Capacidade: 80 pessoas ... Abrigo V ... Capacidade: 80 pessoas ... Abrigo VI ... Capacidade: 80 pessoas; Município ... População: 52000","alta",""
"Passa Sete","verde","semáforo (verde/amarelo/vermelho)","sim","2000","3983","Identificação: PARQUE DE EVENTOS MUNICIPAL; Endereço: ESTRADA TAIPINHA; Capacidade: 2000 pessoas; População 3.983 (documento dados cadastrais)","alta",""
"Passo Fundo","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Tipo: CENTRO SOCIAL Nome: Associação de Moradores do Loteamento Berthier Endereço: General Osório, 207 Loteamentos Berthier Área disponível para alojamento (m²): 600 Tipo: GINÁSIO Nome: EMEF Eloi Pinheiro Machado Endereço: Telmo Ilha, 478, Loteamento Leonardo Ilha Área disponível para alojamento(m²): 650 Tipo: GINÁSIO Nome: Ginásio da UAMPAF Endereço: Rua Manuel Portela, 163","alta",""
"Passo do Sobrado","verde","semáforo (verde/amarelo/vermelho)","sim","1200","N/A","Lista De Abrigos: Abrigo I ... Capacidade (300 pessoas) ... Abrigo II ... Capacidade (300 pessoas) ... Abrigo III ... Capacidade (300 pessoas) ... Abrigo IV ... Capacidade (300 pessoas)","alta",""
"Paverama","verde","semáforo (verde/amarelo/vermelho)","sim","1400","8146","Lista De Abrigos: Abrigo I: ... Capacidade: 800 pessoas ... Abrigo II: ... Capacidade: 350 pessoas ... Abrigo III: ... Capacidade: 250 pessoas; População: 8.146 hab. – Estimativa de 2024","alta",""
"Pedras Altas","verde","semáforo (verde/amarelo/vermelho)","sim","430","N/A","Abrigo I Identificação: Gupa ginagio municipal ... Capacidade: 100 pessoas[Abrigo II Identificação: escola municipal Assis brasil ... Capacidade: 80 pessoas][Abrigo III Identificação: case centro assistencial social ebernezer ... Capacidade: 80 pessoas][Abrigo IV Identificação: Escola municipal lago azul ... Capacidade: 85 pessoas][Abrigo V Identificação: escola municipal neusa Brisola ... Capacidade: 85 pessoas][Abrigo VI Identificação: casa passagem em Joaquina assis brasil ... Capacidade: 20 pessoas]","alta",""
"Pedro Osório","verde","semáforo (verde/amarelo/vermelho)","sim","2000","8711","Abrigo I: Colégio Estadual Getúlio Vargas ... Capacidade 200; Abrigo II: Salão Paroquial ... Capacidade 800; Abrigo III: E.M.E.F. Getúlio Vargas ... Capacidade 1000. / Município ... população (8.711)","alta",""
"Pelotas","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","343,826 (estimada 2021)","O documento menciona ""organização e controle de abrigos municipais"" e responsabilidades da Secretaria Municipal de Assistência Social, mas não lista nomes/endereços de abrigos nem indica número de vagas: ""Secretaria Municipal de Assistência Social: identificação e apoio a pessoas vulneráveis, organização e controle de abrigos municipais, fornecimento de alimentação, água e vestuário."" [ref_id:0][ref_id:14][ref_id:15] Além disso o plano fornece dado populacional: ""Estimated population 343,826 (2021)."" [ref_id:20]","alta",""
"Pinhal Grande","verde","semáforo (verde/amarelo/vermelho)","sim","3500","N/A","Abrigo I - Ginásio de Esportes Municipal ... Capacidade: 1000 pessoas; Abrigo II - Centro Comunitário São José ... Capacidade: 1000 pessoas; Abrigo III - Centro Comunitário São João Maria Vianei ... Capacidade: 1500 pessoas","alta",""
"Pinheiro Machado","verde","semáforo (verde/amarelo/vermelho)","sim","500","11214","Abrigo I - Identificação: Ginásio Municipal ... Capacidade: 250 pessoas; Abrigo II - Identificação: Ginásio da Escola Municipal Dois de Maio ... Capacidade: 100 pessoas; Abrigo III - Identificação: Ginásio da Escola Municipal Avelino de Assis Brasil ... Capacidade: 150 pessoas; População: 11.214","alta",""
"Piratini","verde","semáforo (verde/amarelo/vermelho)","sim","2.200","N/A","Primary: Ginásio Municipal de Esportes, Prolongamento Rua Osvaldo Aranha... Capacity: 2,000 people. Secondary (Abrigo II): Escola Municipal Alaôr Tarouco, Endereço: Passo do Bêbado... Capacity: 200 alunos.","alta",""
"Porto Alegre","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","PROTOCOLO DE ABRIGOS TEMPORÁRIOS EM DESASTRES ... Mapeamento de locais públicos e privados com infraestrutura básica (escolas, ginásios, igrejas) ... Gerenciamento do abrigo, organização da escala/contratação de pessoal para apoio nas atividades, conforme o protocolo de abrigos temporários em desastres (2025); Nos abrigos temporários (2022): - Higiene e limpeza do local; - Fornecimento de energia elétrica; - Fornecimento de água potável; - Provisão, preparação e fornecimento de alimentação; - Instalação de banheiros.","alta",""
"Portão","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Os abrigos oficiais do município para a população de Portão são: - Lothar Kern - Rua 09 de Outubro n° 190, Centro. - Centro de eventos Antônio Carlos Dias – Rua 09 de Outubro n° 190, Centro - Ginásio Municipal – Rua Ivoti nº 1, Centro. (Também lista abrigos voluntários com endereços: CTG Velha Cambona - Rua Garibaldi nº 226 - Parque Neto; Rua das Cerejeiras - Bairro Vila Rica; Igreja Assembléia de Deus Rua Liberdade º 265 - Bairro Estação Portão; Igreja na Rua Soledade nº 140 - Bairro Parque Neto; Igreja Luterana Rua Martim Luther nº 65 - Estação Portão; Centro Espírita São Francisco na Estação Portão; Comunidade Santa Rita na Cachoeira.)","alta",""
"Pouso Novo","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","9","Abrigo público CTG Tropilhas da Serra Rua Bento Gonçalves, SN, Centro Responsável pelo local: Renato Compagnoni Contato: 51 9 8637-8506[ref_id:2] | Número de pessoas e residências que serão afetadas: Pessoas 09 Residências 04[ref_id:9]","alta",""
"Poço das Antas","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","2,171","LISTA DE ABRIGOS: Abrigo I: Ginásio Municipal de Esportes (Rua Guilherme Alfredo Anschau, nº 307, Centro); Abrigo II: Centro Comunitário de Boa Vista – CEBOVI (Rua Vanir José Schneider, nº 15, Bairro Boa Vista); Abrigo III: Associação Esportiva Cultural Recreativa e Assistência Social Santa Inês (Localidade Santa Inês, s/nº, Interior). População: 2,171 habitantes — IBGE 2022.","alta",""
"Presidente Lucena","verde","semáforo (verde/amarelo/vermelho)","sim","1800","3077","Abrigo I: identificação: Ginásio Municipal ... Capacidade: 1.800 pessoas; ""População: 3077""","alta",""
"Progresso","verde","semáforo (verde/amarelo/vermelho)","sim","250","5,340","Lista De Abrigos ... Abrigo I. ... identificação (uma quadra/ginasio/escola), endereço completo ... capacidade stated as ""250 pessoas."" [ref_id:1] || Population: 5,340. [ref_id:5] || Áreas de Risco do Município: Sede Municipal; Localidade de Apetiri; Localidade de São Luiz (descrição de pontos de enxurrada/ transbordamento). [ref_id:7]","alta",""
"Putinga","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","3.747","Documento: ""PLANO DE CONTINGÊNCIA"" do município de Putinga/RS — contém seção ""Áreas de Risco"" mencionando pontos sujeitos a alagamentos e deslizamentos; cabeçalho indica população 3.747 (IBGE 2022). Não há listagem de abrigos ou indicação de número de vagas no documento recuperado.","media",""
"Quevedos","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","designação de abrigos temporários (escolas, ginásios) e manutenção de estoques de essenciais (água, comida, remédios, cobertores).","alta",""
"Quinze de Novembro","verde","semáforo (verde/amarelo/vermelho)","sim","1300","3653","Abrigo I Identificação: Comunidade Católica Santa Bárbara Endereço: Rua Duque de Caxias. Nº 476,Centro ... Capacidade: 200 pessoas[ref_id:2] Abrigo II Identificação: Lar Evangélico Endereço: Rua Carlos Gomes nº 404/Centro ... Capacidade: 600 pessoas[ref_id:2] Abrigo III Identificação: Clube 25 de julho Endereço: Gonçalves Dias ... Capacidade: 500[ref_id:2] Nome: Quinze de Novembro População: 3653[ref_id:1]","alta",""
"Relvado","verde","semáforo (verde/amarelo/vermelho)","sim","500","1.828","Lista De Abrigos... Abrigo I Identificação: Ginásio Municipal de Esportes Endereço: Rua das Hortensias, 57 ... Capacidade: 500 pessoas[ref_id:0][ref_id:2]","alta",""
"Restinga Sêca","verde","semáforo (verde/amarelo/vermelho)","sim","3300","15213","8. Lista de Abrigos 8.1 Ginásio Municipal de Esportes “Romano Cantarelli” - Endereço: Rua Emilio Henrique Nagel,791 - Capacidade: 500 pessoas[ref_id:8] 8.1 Ginásio Municipal de Esportes “Armindo Tronco” - Endereço: Rua Afonso Germano Pötter - Capacidade: 300 pessoas[ref_id:6] 8.1 Centro Municipal de Eventos - Endereço: Rua Izaltino de Oliveira - Capacidade: 2500 pessoas[ref_id:6] População: 15.213[ref_id:1]","alta",""
"Rio Grande","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","198.958","Relação de Abrigos Temporários * locais pré-definidos Escola Endereço Ginásio Escola França Pinto Minas Gerais Igreja Salvador General Vitorino/ General Neto Salão Paroquial Povo Novo Camping Cassino – abrigo para Cassino Colchões para abrigo 100 Cobertores para abrigo 100","alta",""
"Rio Pardo","verde","semáforo (verde/amarelo/vermelho)","sim","160","34654","Identific/ção: Ginásio Norberto Ub/tub/ Figueir/ (Ginásio Bo/ Vist/) Endereço: Ru/ M/l. Deodoro d/ Fonsec/ - Bo/ Vist/, Rio P/rdo - RS, 96640-000 C/p/cid/de: 60 pesso/s[C/P] Endereço: Av. dos Am/r/es - Bo/ Vist/, Rio P/rdo - RS, 96640-000 C/p/cid/de: 100 pesso/s Popul/ção: 34.654 pesso/s [2022]","alta",""
"Riozinho","verde","semáforo (verde/amarelo/vermelho)","sim","≈500 (capacidade indicada para alguns locais; total exato não informado)","4.473 (população municipal) e áreas de risco com estimativas locais: Morro Azul ≈130; Loteamento Wesen ≈300; Chuvisqueiro ≈210","Documento lista ""Diagnóstico das unidades escolares e locais que poderão ser utilizados como abrigos"" com nome, localização, descrição e capacidade de instalações (ex.: salões, cozinha, banheiros e capacidades até cerca de 500)"" [ref_id:0] ; lista de pontos de encontro/abrigos específicos: ""Prefeitura Municipal — Avenida Guerino Pandolfo, nº 580"", ""Pátio da Secretaria de Obras — Rua José Esquinatti, nº 01, Centro"", ""Salão paroquial — Avenida André Brambilla, nº 181"", ""Centro do Idoso de Riozinho — Rua Pascoal Brambilla, nº 835, Centro"" [ref_id:16] ; população municipal indicada: ""Número de habitantes: 4.473"" e estimativas por localidade de risco (Morro Azul ≈130; Loteamento Wesen ≈300; Chuvisqueiro ≈210) [ref_id:2]","media",""
"Roca Sales","verde","semáforo (verde/amarelo/vermelho)","sim","472","N/A","Em caso de necessidade de abrigar pessoas em virtude de desastres por chuvas intensas, será(ão) utilizado(s) o(s) seguinte(s) local(is): • Salão Comunidade Católica , com capacidade para 188 pessoas. • Ginásio Escola Dom Pedro, com capacidade para 284pessoas.","alta",""
"Rolante","verde","semáforo (verde/amarelo/vermelho)","sim","1350","21253","Tabela listando abrigos com nome, endereço, responsável, contato e capacidade (ex.: Escola Municipal Hugo Zimmer — Rua Pedro Carneiro Pereira, 281 — Capacidade 100) [ref_id:3][ref_id:1]; lista de vários outros abrigos com capacidades (ex.: CTG Passo dos Tropeiros — Capacidade 200) [ref_id:1]; população aproximada do município: 21.253 habitantes (informado no diagnóstico/situação) [ref_id:22]","alta",""
"Saldanha Marinho","verde","semáforo (verde/amarelo/vermelho)","sim","1600","2876","Abrigo I Identificação: Ginásio Municipal de Esportes Edmundo Röhrig Endereço: Rua Gumercindo Saraiva, 535 Capacidade: 1200 pessoas; Abrigo II ... Capacidade: 400 pessoas; Population: 2,876","alta",""
"Salto do Jacuí","verde","semáforo (verde/amarelo/vermelho)","sim","500","10203","Lista De Abrigos — Abrigo I ... capacidade (listed as 300 pessoas) [ref_id:1]; Capão Bonito ... Capacity listed as 150 people [ref_id:7]; Rincão do Ivaí ... Capacity listed as 50 people [ref_id:7]; Basic stats: population ~10,203 [ref_id:3]","alta",""
"Salvador do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1200","7251","Lista De Abrigos - Abrigo I Identificação: Ginásio de esportes Endereço: Parque municipal Responsável: AAOMA — Elaide Petry Löff Tel Fixo: 36381247 Tel Celular: 51 997127874 Capacidade: 1200 pessoas; População: 7.251 (Estimativa: 2014 do IBGE)","alta",""
"Sananduva","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","16.399","INDICAÇÃO SEDE DE COORDENAÇÃO DE CRISE 01: GINÁSIO ESPORTIVO VICTOR CAMOZZATO; ENDEREÇO... RUA LAGOA VERMELHA Nº25, CENTRO","alta",""
"Santa Bárbara do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1040","8829","Abrigo 01 ... Capacidade: 40; Abrigo 02 ... Capacidade: 500 pessoas; Abrigo 03 ... Capacidade: 500 pessoas","alta",""
"Santa Cecília do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","1674","Página 'Abrigos' lista dois abrigos com nome/tipo, endereço (rua Maximiliano/Maximiliano de Almeida), área construída e área disponível para pernoite (500 m² e 1.200 m²) e contatos; 'Área de Risco - 5.1' indica 'Nº de afetados: 1674'.","alta",""
"Santa Clara do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","820","7067","Lista de Abrigos ... Abrigo 01–05 ... capacidade (listadas como 500, 100, 50, 30, 30 pessoas) [ref_id:0]; Abrigo 06–10 ... Capacidade: 30 pessoas (cada) [ref_id:1]; Estimativa 2024 população (7,067) [ref_id:7]","alta",""
"Santa Cruz do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","132.816 mil hab","ANEXO I – ABRIGOS: Abrigo I - Parque da Oktoberfest – Pavilhão II; Abrigo II - Parque da Oktoberfest – Pavilhão III; Abrigo III - Parque da Oktoberfest – Casas Feira (08 Casas); Abrigo IV - EMEF Guido Herbert; Abrigo V - EMEF Harmonia; Abrigo VI - EMEF São Canísio; Abrigo VII - Centro Comunitário Viver Bem; Abrigo VIII - EMEF José Leopoldo Rauber; Abrigo IX - EMEF Cristiano João Schmit (Rio Pardinho); Abrigo X - EMEF Felix Hop (Linha Nova); Abrigo XI - Ginásio Comunidade Monte Alverne; Abrigo XII - Ginásio Poliesportivo (Alojamentos=08)"" [ref_id:17][ref_id:12][ref_id:1]","alta",""
"Santa Maria do Herval","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","650","ABRIGOS - 1 ... Tipo: PAROQUIA Nome: Nossa Senhora Auxiliadora ... Endereço: Rua 12 de maio ... Área disponível para alojamento(m²): 600 ... N° de afetados: 650","alta",""
"Santa Maria","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","“Contatar os gerenciadores dos abrigos, lhe informando a situação (Defesa Civil 2024).”","alta",""
"Santa Vitória do Palmar","verde","semáforo (verde/amarelo/vermelho)","sim","4214","N/A","ABRIGO I Identificação: GINÁSIO DE ESPORTES CARDEAL Endereço: Av. Justino Amonte Anacker, nº 351 ... Capacidade: 1.599 pessoas ABRIGO II Identificação: ESCOLA MUNICIPAL CASTELO BRANCO Endereço: Rua Gal. Osório, nº 2347 ... Capacidade: 2.315 pessoas ABRIGO III Identificação: Escola Municipal Osmarino Terra Endereço: Rua Teonilo São Costa, nº 40 ... Capacidade: 300 pessoas[ref_id:0]","alta",""
"Santana da Boa Vista","verde","semáforo (verde/amarelo/vermelho)","sim","600","N/A","Abrigo I: Ginásio Esportivo, Rua Dezessete de Setembro; capacidade 100 pessoas. Abrigo II: Escola Jacinto Inácio, Rua Pe. Ramão Fuentemayor; capacidade 300 pessoas. Abrigo III: Escola Dezessete de Setembro, Rua Aparicio Freitas; capacidade 200 pessoas.","alta",""
"Santiago","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","Estabelecer abrigos temporários em locais elevados e seguros (Hopeful, 2024).","alta",""
"Santo Antônio da Patrulha","verde","semáforo (verde/amarelo/vermelho)","sim","750","N/A","Salão Paroquial da Cidade Alta ... Capacidade: 400 pessoas; Ginásio de Esportes do Colégio Santa Teresinha ... Capacidade: 100 pessoas; Espaço Cultural Qorpo Santo ... Capacidade: 50 pessoas; Salão Paroquial da Boa Viagem ... Capacidade: 200 pessoas","alta",""
"Santo Antônio do Palma","verde","semáforo (verde/amarelo/vermelho)","sim","1050","2091","Lista De Abrigos: Abrigo I Identificação: Centro municipal de Convivência Endereço: Rua Ernesto Szimanski, 276 Capacidade: 250 pessoas; Abrigo II Identificação: Salão Paroquial Endereço: Avenida 20 de março, praça da matriz Capacidade: 500 pessoas; Abrigo III Identificação: Ginásio Municipal Endereço: Rua Ângelo Perin Capacidade: 300 pessoas. População: 2.091 – Censo IBGE 2022.","alta",""
"Santo Antônio do Planalto","verde","semáforo (verde/amarelo/vermelho)","sim","400","N/A","ABRIGO DISPONÍVEL: ginásio esportivo — Endereço: (indicado) — Responsável: (indicado) — Capacidade: 400 pessoas","alta",""
"Santo Expedito do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","650","N/A","Lista De Abrigos: Abrigo I ... capacidade listada como 300 pessoas; Abrigo II ... capacidade listada como 150 pessoas; Abrigo III ... capacidade listada como 200 pessoas.","alta",""
"Sapiranga","verde","semáforo (verde/amarelo/vermelho)","sim","500","N/A","Lista De Abrigos: Abrigo I: ""Ginásio Municipal de Esporte Nenezão"", endereço Santa Helena 210; Capacidade: 500 pessoas; Abrigo II: ""Centro Municipal de Educação Doutor Décio Gomes Pereira (GINÁSIO)"", endereço Rua Presidente Kennedy 2222","alta",""
"Sapucaia do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1200","N/A","a) Escola Otaviano da Silveira e Ginásio. Av. Sebastião Faut, 245 bairro Fortuna, com capacidade para 350 pessoas na escola e 400 no ginásio. b) Escola Hugo Gerdau, com capacidade para 300 pessoas. c) Associação dos moradores bairro carioca 150 pessoas.","alta",""
"Segredo","verde","semáforo (verde/amarelo/vermelho)","sim","800","6009","Lista de abrigos: Parque de Eventos Municipal Padre João Pasa — capacidade 800 pessoas, 1 cozinha, 6 banheiros.[ref_id:0] População: 6.009 habitantes (censo 2022).[ref_id:9]","alta",""
"Selbach","verde","semáforo (verde/amarelo/vermelho)","sim","800","5.107","Lista De Abrigos ... Capacidade (Abrigo I: 600; Abrigo II: 200) [ref_id:0]; MUNICÍPIO ... Population: ""5.107"" [ref_id:2]","alta",""
"Sentinela do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","400","5424","Abrigo I ... Local: Parque Municipal de Eventos ... Endereço: Rua Rui Quadros Machado, Nº s/n ... Capacidade: 300; Abrigo II ... Local: Escola Municipal de Ensino Fundamental Olavo Bilac ... Endereço: Rua Olma Avelino Cézar, Nº s/n ... Capacidade: 100; população de aproximadamente 5,424.","alta",""
"Sertão Santana","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","5.989","Ativação de Abrigos (Responsável: Sec. Assistência Social): Ativar o Ginásio Estadual de Esportes e, se necessário, outras estruturas.","alta",""
"Sertão","verde","semáforo (verde/amarelo/vermelho)","sim","210","5541","Lista De Abrigos: Abrigo I: Centro, Centro Esportivo, Av. Brasil n°1801 — capacidade 100; Abrigo II: Ginásio, Av. Ernesto Dornelles n°1110 — capacidade 80; Abrigo III: Centro do Idoso, Av. Jorge Alfredo Streit — capacidade 30. MUNICÍPIO: População: 5.541 (2022).","alta",""
"Severiano de Almeida","verde","semáforo (verde/amarelo/vermelho)","sim","400","3467","LISTA DE ABRIGOS ABRIGO I Identificação: Ginásio Municipal do Módulo Esportivo ... Capacidade: 200 pessoas[ref_id:0][ref_id:1] ABRIGO II Identificação: Casa do Idoso ... Capacidade: 50 pessoas[ref_id:0][ref_id:3] ABRIGO III Identificação: Escola de Educação Infantil Tia Mercedes ... Capacidade: 50 pessoas[ref_id:3] ABRIGO IV Identificação: Escola Estadual Dr. José Bisognin ... Capacidade: 100 pessoas[ref_id:3] População: 3.467habitantes[ref_id:1]","alta",""
"Silveira Martins","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","2.149","Abrigo I: ginásio de escola municipal localizado em Vila Cattani; Abrigo II: clube agrícola local na Rua Antonio Américo Vedoin; Abrigo III: campos em branco.\nPopulação 2.149.","alta",""
"Sobradinho","verde","semáforo (verde/amarelo/vermelho)","sim","450","14226","Ginásio de Escola Espírito Santo, Bairro Vera Cruz - Capacidade: 450 pessoas","alta",""
"Soledade","verde","semáforo (verde/amarelo/vermelho)","sim","600","N/A","Abrigo I Identificação: Ginásio PPV Endereço: Rua Nei Vilasboas, 500 ... Capacidade: 100 pessoas[ref_id:0] Abrigo II Identificação: Salão Paroquial da Igreja Nossa Senhora da Soledade Endereço: Largo da Matriz ... Capacidade: 300 pessoas[ref_id:0] Abrigo III Identificação: Salão da Igreja Santa Rita Endereço: Av. Farrapos, s/nº, Bairro Botucaraí ... Capacidade: 200 pessoas[ref_id:0]","alta",""
"São Domingos do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","100 (Área de Risco - Alagamentos 1.1); 300 (Área de Risco - Enxurradas 2.1); 2950 (Área de Risco - Seca 3.1); 130 (Área de Risco - Tempestade 4.1); 3091 (Área de Risco - Epidemias 5.1)","ABRIGOS - 1 Tipo: GINASIO Nome: Ginásio da Sede ... Endereço: Av. Professor Albino Benvegnú [ref_id:1] ; ABRIGOS - 2 Tipo: PAROQUIA Nome: Salão paroquial da sede ... Endereço: Rua Monsenhor João Benvegnú [ref_id:4] ; ABRIGOS - 3 Tipo: GINASIO Nome: Ginásio Distrito de Santa Gema ... Endereço: Av. Monsenhor João Benvegnú [ref_id:4] ; ABRIGOS - 4 Tipo: PAROQUIA Nome: Salão Paroquial do Distrito de Santa Gema ... Endereço: Av. Monsenhor João Benvegnú [ref_id:2] ; Área de Risco - 1.1 N° de afetados: 100 [ref_id:0] ; Área de Risco - 2.1 N° de afetados: 300 [ref_id:3] ; Área de Risco - 3.1 N° de afetados: 2950 [ref_id:5] ; Área de Risco - 4.1 N° de afetados: 130 [ref_id:5] ; Área de Risco - 5.1 N° de afetados: 3091 [ref_id:8]","alta",""
"São Francisco de Assis","verde","semáforo (verde/amarelo/vermelho)","sim","1380","N/A","Abrigo I: ...Endereço ... Volmir Bastos ... Capacidade 1080 pessoas; Abrigo II: ...Endereço ... Rua 13 de Janeiro ... Capacidade 300 pessoas.","alta",""
