"municipio","valor","unidade","apenas_previsto","evento_real_nao_simulado","evidencia","confianca","erro"
"Quevedos","vermelho","semáforo (verde/vermelho)","sim","nao","“5.2 Preparação: treinamento e exercises para equipes de resposta e voluntários, periodic disaster simulations with the public/schools/institutions” [documento Plano de Contingência Municipal de Quevedos] e página datada 20 de janeiro de 2025 indicando revisão anual, assinaturas — não há menção a simulado realizado com data, ata, relatório ou nº de participantes.","alta",""
"Quinze de Novembro","vermelho","semáforo (verde/vermelho)","nao","nao","""PLANO DE CONTINGÊNCIA Município de Quinze de Novembro/ RS Janeiro/2023."" (documento descreve objetivos, ações, abrigos e responsabilidades, mas não contém frase indicando que um simulado/exercício de evacuação foi efetivamente realizado, com data, ata, relatório ou número de participantes)","alta",""
"Relvado","vermelho","semáforo (verde/vermelho)","sim","nao","O documento descreve procedimentos e previsões de realização de ações e treinamentos, mas não relata simulado já realizado. Exemplo de linguagem preditiva: ""Os alertas emitidos pelos órgãos oficiais ... serão recebidos..."" [ref_id:0][ref_id:2]","alta",""
"Restinga Sêca","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado realizado; o documento trata de procedimentos, acionamento e responsabilidades (ex.: ""Acionar equipe da COMDEC-Responsável: Secretário de Obras - (55) 99951-9497"") e orientações sobre abrigos e ações, sem registro de data/relatório/ata/nº participantes de exercício realizado.","alta",""
"Rio Grande","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulados efetivamente realizados. O documento contém trechos como ""Esse plano encontra-se em processo de revisão"" e várias determinações de ação/rotina (ex.: ""Saída em campo das equipes da Defesa Civil"", ""Acionamento de equipes"", ""Montagem de abrigos"") sem indicação de data, ata, relatório ou número de participantes de um simulado realizado.","alta",""
"Rio Pardo","vermelho","semáforo (verde/vermelho)","sim","nao","""Após realizado(s) todas as fases e sub-fases deste Plano de Contingência deverá o Coordenador da Defesa Civil de Rio Pardo junto às demais Secretarias realizar avaliação de todas as etapas percorridas durante o evento, assim observando acertos e pontos a melhorar""","alta",""
"Riozinho","vermelho","semáforo (verde/vermelho)","sim","nao","“instruções ... referências a conducting simulated exercises, coordinating with the municipal protection and civil defense office, documenting problems and suggested improvements, and distributing revised versions.” [ref_id:0]","alta",""
"Roca Sales","vermelho","semáforo (verde/vermelho)","sim","sim","Não há menção a simulado realizado; o texto descreve ações de preparação e prevê capacitações/treinamentos (""capacitações"", ""deverão realizar"" não foi encontrado literalmente), e registra enchentes reais como eventos passados (ex.: ""enchentes do rio Taquari... Set/2023 – 24,14 metros"", ""Mai/2024 – 24,96 metros"") indicando resposta a eventos reais em vez de simulado","alta",""
"Rolante","vermelho","semáforo (verde/vermelho)","sim","nao","Texto do plano: ""Abrigos de Emergência"" (lista de abrigos) e ""mobilização executada pela Defesa Civil e comando do Corpo de Bombeiros Voluntários quando os indicadores atingirem 150 mm ou deslocamento de massa for detectado"" — não há menção a simulado efetivamente realizado com data, ata, relatório ou número de participantes; o documento contém instruções de ativação/desmobilização e critérios/autoridade (ex.: ""deverá ser ativado"" e critérios de precipitação e níveis de rios) e formulário de registro de alterações com data de versão (""ÚLTIMA ATUALIZAÇÃO: 12/09/2023"") mas nenhuma referência a realização de simulados passados com data/ata/relatório/participantes.""","alta",""
"Saldanha Marinho","vermelho","semáforo (verde/vermelho)","nao","nao","Documento contém seções sobre ""Que ações devem ser desenvolvidas"" (ex.: ""5.2 Remoção de pessoas de áreas de risco"") e identificação do Coordenador Municipal de Defesa Civil, sem menção a simulado realizado, ata, relatório, data de realização ou número de participantes; capa datada ""SETEMBRO/ 2017"" (não é indicação de simulado realizado).","alta",""
"Salto do Jacuí","vermelho","semáforo (verde/vermelho)","N/A","N/A","PLANO DE CONTINGÊNCIA Município de Salto do Jacuí / RS ABRIL 2025.","baixa",""
"Salvador do Sul","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO há indicação de que tenha sido realizado algum simulado/treinamento no passado com data, ata, relatório ou número de participantes no documento; o texto descreve acionamento em caso de evento adverso e ações a serem desenvolvidas, p.ex.: ""Quando o plano será acionado? ... Quando ocorrer algum evento adverso com danos materiais elou humanos."" [ref_id:1] e o documento contém apenas descrição de responsabilidades e ações a desenvolver (ex.: ""5- Que ações devem ser desenvolvidasl z ( O quê ?)""; listas de órgãos e responsáveis) sem menção a simulado realizado, ata ou relatório no passado [ref_id:0][ref_id:1]","alta",""
"Sananduva","vermelho","semáforo (verde/vermelho)","nao","nao","não menciona a realização de simulados; contém instruções de atuação e histórico de eventos reais, mas não há frase informando que “foi realizado o simulado” nem ata/relatório/nº de participantes","alta",""
"Santa Bárbara do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","Texto do plano: ""Ações a serem desenvolvidas"" descreve procedimentos de Monitoramento, Alerta, Alarme, Fuga (evacuação) e atribui responsabilidades ao COMDEC; exemplos incluem recursos necessários e atribuições (ex.: ""equipe responsável por guiar a população para o ponto de encontro""). O documento contém instruções e listas de abrigos e recursos, mas não apresenta frase indicando que um simulado foi efetivamente realizado (ex.: ""foi realizado o simulado em <data>"", ata, relatório ou nº de participantes)"" [ref_id:0][ref_id:2][ref_id:3]","alta",""
"Santa Cecília do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado realizado; o documento lista ""Atividades de Resposta e Responsáveis"" e ações a serem desenvolvidas (ex.: ""iniciar resgate de vítimas"", ""ativar mecanismos do plano de contingência""), e afirma ""Nenhum documento foi anexado."" [ref_id:5][ref_id:3][ref_id:7]","alta",""
"Santa Clara do Sul","vermelho","semáforo (verde/vermelho)","nao","nao","não há menção a um simulado/exercício de evacuação efetivamente realizado; documentos listam objetivos, abrigos, equipe, procedimentos de ativação e contatos, mas não relatam ""foi realizado o simulado"" nem ata/relatório/nº de participantes","alta",""
"Santa Cruz do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","O documento descreve procedimentos e prevê a realização de ações e simulados (ex.: ""O Plano de Contingência... estabelecendo os procedimentos..."" e menciona padrões de ativação e exercícios como obrigação), mas não apresenta registro de simulado realizado no passado com data, ata, relatório ou nº de participantes; anexo lista ""Eventos ocorridos no período de 2013 a 2024"" sem indicar que algum desses itens foi um simulado realizado com ata/relatório especificando participantes (N/A).","alta",""
"Santa Maria do Herval","vermelho","semáforo (verde/vermelho)","sim","nao","Ações a serem desenvolvidas Realizar a remoção de pessoas das áreas de risco Acionar os mecanismos para implantação do Palno de Contigência para atendimento ao desastre Avaliar a extensão dos danos materiais Dar assistência aos desabrigados e desalojados Dispor de veículos para transporte de recursos humanos e materiais para socorra às vítimas","alta",""
"Santa Maria","vermelho","semáforo (verde/vermelho)","sim","nao","“Realizar exercícios de simulação para garantir a eficácia da resposta conjunta (Defesa Civil, 2024).” [ref_id:0][ref_id:2] — não há indicação de data, ata, relatório ou número de participantes que comprove que algum simulado foi efetivamente realizado; menções são a treinamentos/simulações regulares ou recomendadas (ex.: “Treinar regularmente as equipes... através de simulações de casos reais...” ) [ref_id:0][ref_id:1][ref_id:2][ref_id:3]","alta",""
"Santa Vitória do Palmar","vermelho","semáforo (verde/vermelho)","sim","N/A","“O plano deverá ser revisado anualmente pela Coordenadoria Municipal de Defesa Civil,”","alta",""
"Santana da Boa Vista","vermelho","semáforo (verde/vermelho)","nao","N/A","Não há no documento recuperado nenhuma frase que afirme que um simulado/exercício de evacuação foi efetivamente realizado (com data, ata, relatório ou nº de participantes). Os documentos disponíveis incluem capa do Plano (março/2025) [ref_id:0], formulários de identificação de ações e responsáveis [ref_id:1], resumo de recursos e estoques [ref_id:2] e lista de abrigos [ref_id:4], sem menção a simulados realizados; portanto classifica-se como 'não menciona simulados' / apenas documentação de planejamento/recursos.","alta",""
"Santiago","vermelho","semáforo (verde/vermelho)","sim","N/A","""Realizar simulações e exercícios práticos (Hopeful, 2024).""","alta",""
"Santo Antônio da Patrulha","vermelho","semáforo (verde/vermelho)","sim","nao","“Além disso, devem ser realizados exercícios simulados conjuntos, com pelo menos uma edição anual em Santo Antônio da Patrulha como prevê a Lei Federal Nº 12.608, de 10 de Abril de 2012.” [ref_id:0][ref_id:2]","alta",""
"Santo Antônio do Palma","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/exercício de evacuação efetivamente realizado com data, ata, relatório ou número de participantes no plano; o documento descreve ações (ex.: ""5.3 Evacuação; assistência às vítimas com cadastramento (Secretaria Municipal da Assistência Social) e alojamento em abrigos e casas de parentes"") e responsabilidades, mas não declara que um simulado foi realizado nem apresenta ata/relatório/participantes.","alta",""
"Santo Antônio do Planalto","vermelho","semáforo (verde/vermelho)","sim","nao","""AÇÕES A SEREM DESENVOLVIDAS"" (tabela de atribuições) e seções descrevendo responsabilidades e acionamento do plano — não há menção a simulado já realizado com data/relatório/ata/nº de participantes; por exemplo, ""1.3 Quando deve ser desencadeado?: explica quando o plano é acionado"" (descrição de gatilhos) e tabelas de atribuições/recursos/shelter, sem registro de exercício realizado.","alta",""
"Santo Expedito do Sul","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção no documento a simulado/treinamento efetivamente realizado com data, ata, relatório ou nº de participantes; o plano lista ações previstas (ex.: ""Evacuação; assistência às vítimas...; alojamento em abrigos e casas de parentes"") e responsabilidades, mas não registra execução de exercício/ simulado no passado","alta",""
"Sapiranga","vermelho","semáforo (verde/vermelho)","sim","nao","O documento descreve ações e procedimentos (ex.: ""5.1 NO PRÉ‑DESASTRE — Monitoramento constante das áreas de riscos."") e orientações de socorro (ex.: ""5.2 AÇÕES INICIAIS NO DESASTRE""; ""5.3 AÇÕES DE SOCORRO NO DESASTRE""), mas não apresenta registro de simulado realizado, ata, relatório ou número de participantes; há cronologia de eventos reais (2018–2024) sem indicação de exercícios realizados.","alta",""
"Sapucaia do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","“deverão realizar capacitação com sua equipe executora ... tanto pra esclarecimento sobre o Plano, quanto exercícios simulados, se necessário.”[ref_id:0]","alta",""
"Segredo","vermelho","semáforo (verde/vermelho)","sim","nao","""conduzir simulacros para testar planos de contingência""; não há indicação de data, ata, relatório ou número de participantes que comprove simulado já realizado no passado no documento recuperado [ref_id:0][ref_id:3]","alta",""
"Selbach","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","alta",""
"Sentinela do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","""O plano será revisado anualmente."" (p.6) e seções indicam ações, capacitações e ""Preparação (alertas e capacitações)"" mas não há descrição de simulados realizados, datas, atas, relatórios ou número de participantes; documentos listam formulários de cadastramento, listas de voluntários e abrigos, e instruções para execução, sem relato de simulado concluído. [ref_id:5][ref_id:0][ref_id:3][ref_id:21]","alta",""
"Sertão Santana","vermelho","semáforo (verde/vermelho)","sim","nao","“Deverá ser revisado a cada 12 meses” / “Manter o PLAMCON atualizado, ... treinar equipes.”","alta",""
"Sertão","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO menciona simulado realizado; contém objetivos, quem aciona o plano e quando deve ser desencadeado (ex.: ""Quando deve ser desencadeado: I. Enxurradas — damage to bridges..."" )","alta",""
"Severiano de Almeida","vermelho","semáforo (verde/vermelho)","sim","nao","não menciona simulados; prevê ações e responsabilidades e lista abrigos, mas não registra ""simulado realizado"" nem ata/relatório/número de participantes no documento do PLACON (Agosto/2025).","alta",""
"Silveira Martins","vermelho","semáforo (verde/vermelho)","nao","N/A","PLANO DE CONTINGÊNCIA MUNICÍPIO de SILVEIRA MARTINS – RS SILVEIRA MARTINS, 10 DE JULHO DE 2023","baixa",""
"Sobradinho","vermelho","semáforo (verde/vermelho)","sim","sim","“Ainda é uma atribuição do município estabelecido na Lei Nº 12.608, de 10 de Abril de 2012, confeccionar o Plano de Contingência e seu simulado.”[ref_id:2] ""...evento devastador ocorrido no ano de 2024, onde toda a população Sobradinhense foi afetada...""[ref_id:2] ""A evacuação é acionada sempre pelo Prefeito Municipal ou o Coordenador da COMPDEC...""[ref_id:9]","alta",""
"Soledade","vermelho","semáforo (verde/vermelho)","sim","nao","O Plano descreve ações de evacuação e prevê a realização de atividades/treinamentos no âmbito da Defesa Civil, mas não traz registro de simulado já realizado com data, ata, relatório ou número de participantes: ""5.3. Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."" [ref_id:2] ""O Plano de Contingência do Município de Soledade segue o perfil básico do modelo de PLACON... sendo elaborado pela Coordenadoria Municipal de Defesa Civil e órgãos de apoio, sendo aprovadas pelo Conselho Municipal de Defesa Civil e demais entidades diretamente envolvidas, sendo registrado em ata."" (não há menção a simulado já realizado). [ref_id:0][ref_id:3]","alta",""
"São Domingos do Sul","vermelho","semáforo (verde/vermelho)","nao","nao","DOCUMENTOS Nome Ação Ata de Posse 2021.pdf ATA PLANCON.pdf PORTARIA 4828 defesa civil - recompõe me... PORTARIA 4833 defesa civil coordenação (... Lei 1739 - DEFESA CIVIL (1).doc","alta",""
"São Francisco de Assis","vermelho","semáforo (verde/vermelho)","nao","nao","Documento: Plano de Contingência do Município de São Francisco de Assis (Março/2025) — não há menção em páginas recuperadas a simulado/exercício de evacuação efetivamente realizado; conteúdo recuperado descreve capa e dados cadastrais do plano, sem ata, relatório, data de realização ou número de participantes de simulados.","media",""
"São Jerônimo","vermelho","semáforo (verde/vermelho)","sim","nao","O PLAMCON descreve procedimentos, atribuições e que devem ser realizadas ações de socorro, evacuação e ""capacitar recursos humanos"" e prevê organização de abrigos e etapas de monitoramento/alerta, mas não apresenta relato, ata, data ou número de participantes de um simulado já realizado no passado; por exemplo: ""O presente plano foi elaborado... bem como realizar as ações para a criação e manutenção das condições necessárias"" e ""Capacitar recursos humanos para as ações de defesa civil"" [ref_id:7][ref_id:8]","alta",""
"São José do Herval","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado realizado; o plano usa linguagem de ação/obrigação como ""Realizar levantamentos dos prejuízos e danos causados"" e ""Definir logística"" e orientações operacionais, sem ata, data de simulado, relatório ou número de participantes; ex.: ""Realizar levantamentos dos prejuízos e danos causados"" [ref_id:3] e seção de logística ""Defesa Civil definirá a estratégia logística"" [ref_id:8].","alta",""
"São José do Hortêncio","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulados realizados; o texto usa instruções e procedimentos e prevê ações como ""esteja preparado para evacuar"" e responsabilidades, sem relatar datas ou atas de simulados realizados. Ex.: ""Laranja – acima de 3,0 metros até 4,0 metros: esteja preparado para evacuar.""[ref_id:2]","alta",""
"São José do Norte","vermelho","semáforo (verde/vermelho)","sim","nao","“Simulados anuais” [ref_id:0] e trecho que lista atividades de preparação como “Planos de evacuação por bairro” e “Treinamento de comunicação emergencial” sem mencionar data/relatório/ata de simulado realizado no passado [ref_id:0][ref_id:2]","alta",""
"São José do Ouro","vermelho","semáforo (verde/vermelho)","nao","N/A","Documento descreve ações e prevê evacuação e treinamentos (ex.: itens de ação 5.1–5.5 e identificação de responsáveis), mas não registra ""foi realizado o simulado"" nem ata/relatório/nº de participantes; exemplo: ""5.3 Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."" [ref_id:0][ref_id:3]","alta",""
"São José do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","“5. Que ações devem ser desenvolvidas.” (lista de ações incluindo: 5.1 ativar autoridades, 5.7 remover/evacuar pessoas, 5.18 Avaliar, organizar e estimular a reconstrução das residências atingidas)”","alta",""
"São João da Urtiga","vermelho","semáforo (verde/vermelho)","sim","nao","""De caráter preventivo, o Plano de Contingências de Desastres de São João da Urtiga tem por orientar e organizar as ações...""; ""Deverão realizar"" não aparece explicitamente, mas o documento descreve ações, responsabilidades e listas de abrigos sem citações de simulados realizados, relatórios ou atas que indiquem que um simulado foi efetivamente realizado no passado.","alta",""
"São João do Polêsine","vermelho","semáforo (verde/vermelho)","nao","nao","N/A","alta",""
"São Leopoldo","vermelho","semáforo (verde/vermelho)","sim","nao","""deverão realizar, sob a coordenação da Secretaria Municipal de Proteção e Defesa Civil, exercícios simulados conjuntos ao menos uma vez por ano. Ao final de cada simulado, deverá ser elaborado um relatório..."" [ref_id:0][ref_id:1]","alta",""
"São Lourenço do Sul","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","baixa",""
"São Martinho da Serra","vermelho","semáforo (verde/vermelho)","sim","nao","“Oferecer às equipes da APS capacitação frequente para o enfrentamento dos ​desastres.” [ref_id:2] / “Realizar capacitação de funcionários para situações de desastres.” [ref_id:2]","alta",""
"São Pedro da Serra","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulados realizados; o documento descreve procedimentos e responsabilidades (ex.: ""O plano será desencadeado...""; ""deverão tomar a decisão..."") e listas de recursos/abrigos, sem ata, data de simulado, relatório ou número de participantes.","alta",""
"São Pedro do Sul","vermelho","semáforo (verde/vermelho)","nao","N/A","N/A","alta",""
"São Sebastião do Caí","vermelho","semáforo (verde/vermelho)","sim","nao","""TREINAMENTOS E SIMULADOS • Criação do projeto “Agente Comunitário de Risco”: líderes locais""","alta",""
"São Sepé","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado realizado; o documento indica ações a serem desenvolvidas e mobilização (ex.: ""3.5: Retirar e encaminhar as pessoas para casas de parentes e, se necessário, aos abrigos"") e prevê responsabilidades e registros de versões (ex.: ""Versões v.2 de 2024 e v.3 2025""), mas não contém frase indicando que ""foi realizado o simulado"" nem ata/relatório/nº de participantes que comprove realização passada","alta",""
"São Vendelino","vermelho","semáforo (verde/vermelho)","sim","nao","“Evacuação: Coordenar a evacuação imediata da população em áreas de risco iminente.”","alta",""
"São Vicente do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","“PLANO DE CONTINGÊNCIA 2023” (documento descreve procedimentos, abrigos, responsabilidades e que o município deverá montar Posto de Comando e realizar ações); não há menção a simulado realizado com data, ata, relatório ou número de participantes — o texto apresenta prescrições e deveres como: “Montar o Posto de Comando (PC) para a ativação do Plano.”","alta",""
"Sério","vermelho","semáforo (verde/vermelho)","sim","nao","“O presente Plano foi elaborado e aprovado ... assumir o compromisso de atuar ... bem como realizar as ações para a criação e manutenção das condições necessárias ao desempenho das atividades e responsabilidades previstas neste Plano.” [ref_id:1]","alta",""
"Tabaí","vermelho","semáforo (verde/vermelho)","nao","nao","Documento: ""Plano de Contingência de Proteção e Defesa Civil."" (conteúdo indica objetivos, acionamento, áreas de risco e ações — foco em estiagem) e formulário do plano com seções ""6. Lista de Abrigos"" e ""7. Resumo dos Recursos""; não há menção a simulado realizado, ata, relatório ou número de participantes. [ref_id:0][ref_id:1]","alta",""
"Tapejara","vermelho","semáforo (verde/vermelho)","sim","nao","“Este Plano foi desenvolvido a partir das análises de risco...”; não há menção a simulados realizados com data, ata, relatório ou número de participantes. Trechos indicam ativação do plano perante ocorrência e responsabilidades, e previsões de ações (ex.: “será ativado sempre que...”, “Após a decisão formal de ativar o Plano...”), mas não há declaração de simulado efetivamente realizado.”","alta",""
"Tapera","vermelho","semáforo (verde/vermelho)","sim","nao","“Recomenda-se a realização de exercícios simulados anuais para testar a operacionalidade do plano.” [ref_id:0][ref_id:1]","alta",""
"Tapes","vermelho","semáforo (verde/vermelho)","sim","nao","Documento PLANO DE CONTINGÊNCIA descreve procedimentos, organograma, monitoramento, listas de abrigos e recursos, e orienta que ""Que ações devem ser desenvolvidas?: ... 5.1–5.7 ... ativar Defesa Civil, monitorar, avisar população, mobilizar responsáveis, avaliação de danos"" — não há menção de simulado realizado com data/ata/relatório/nº participantes nos documentos recuperados; existem instruções de preparação/monitoramento e organograma de funções (preparação e planejamento, monitoramento e alerta, ações de resposta imediata) indicando previsões/atribuições, não registro de um exercício já realizado","alta",""
"Taquara","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/treinamento já realizado; o documento lista planejamento/atribuições, recursos, contatos e procedimentos de ativação, por exemplo: ""Serão deflagradas as atividades de acordo com o planejamento estabelecido para cada Cenário."" [ref_id:4][ref_id:7] e tabela de planejamento/recursos sem ata/relatório ou data de simulado realizado [ref_id:0][ref_id:8].","alta",""
"Taquari","vermelho","semáforo (verde/vermelho)","sim","sim","O texto descreve ações e níveis de alerta, responsabilidades e procedimentos operacionais, e cita remoção/retirada da população e atendimentos em eventos reais (ex.: ""remoção de famílias em risco iminente"" [ref_id:10][ref_id:14]) e registros de enchentes reais com números de desabrigados/desalojados e datas (ex.: ""17–20 November 2023 ... 255 famílias afetadas ... 39 desalojados, 66 desabrigados"" [ref_id:3]). Não há citação de simulado efetivamente realizado com data, ata, relatório ou número de participantes explícito nos trechos recuperados; o plano também usa linguagem de obrigação/rotina (ex.: manter equipes em regime de plantão, realizar vistorias) e prevê ações em ALERTA/EMERGÊNCIA, sem indicar um exercício realizado no passado [ref_id:10][ref_id:14][ref_id:11].","alta",""
"Tavares","vermelho","semáforo (verde/vermelho)","sim","N/A","Section 1 objetivos... estabelece procedimentos a serem adotados pelos órgãos envolvidos na resposta às emergências, com ações desenvolvidas imediatamente após a ocorrência...; Section 3 'Quando deve ser desencadeado: Em situações emergêntes.' Não há menção de simulado realizado, apenas procedimentos e acionamento em emergências.","alta",""
"Teutônia","vermelho","semáforo (verde/vermelho)","sim","nao","O presente plano deve ser regularmente exercitado, no todo ou em parte, com simulações de variadas situações.","alta",""
"Tio Hugo","vermelho","semáforo (verde/vermelho)","sim","nao","O documento menciona ações e que ""Serão ativados"" protocolos e que o COMPDEC ""ativará o plano"" e descreve medidas a serem tomadas, sem indicar registro de simulado realizado no passado; não há menção a ata, relatório, data de realização ou número de participantes de simulados no plano. [ref_id:3][ref_id:5]","alta",""
"Toropi","vermelho","semáforo (verde/vermelho)","nao","nao","O documento contém menções a ""Alerta"", ""Alarme"" e ""Resposta"" e descreve ações a desenvolver e monitoramento, mas não traz registro de simulado realizado (data, ata, relatório ou nº de participantes). Excertos: ""5.1 Monitoramento: objetivo é antecipar adversos...""; ""5.4 Resposta: first resources mobilized...""; não há frase do tipo ""foi realizado o simulado em"" nem ata/relatório/ nº de participantes nos anexos recuperados.""","alta",""
"Travesseiro","vermelho","semáforo (verde/vermelho)","nao","nao","Não menciona realização de simulados/treinamentos; o documento descreve ações, recursos, abrigos e declarações como ""O referido plano deverá ser acionado"" e lista estrutura e responsáveis. Travesseiro, 22 de outubro de 2025.","alta",""
"Triunfo","vermelho","semáforo (verde/vermelho)","nao","nao","Nenhum documento foi anexado.","alta",""
"Três Arroios","vermelho","semáforo (verde/vermelho)","nao","N/A","Não menciona simulado realizado; contém ações a serem desenvolvidas (ex.: ""Evacuação e assistência às vítimas com cadastramento via Secretaria Municipal de Assistência Social; abrigo em abrigos ou casa de familiares"") e procedimentos de acionamento do plano (ex.: ""COMPDEC acionará procedimentos de convocação, o posto de comando e compilará as informações""), além de lista de abrigos e responsáveis, sem indicação de data/ata/relatório ou nº de participantes de um simulado realizado.","alta",""
"Três Coroas","vermelho","semáforo (verde/vermelho)","sim","nao","""devem ser realizados simulados conjuntos, com pelo menos uma edição anual em TRES COROAS como prevê a Lei nº12.608, de 10 de abril de 2012.""","alta",""
"Tunas","vermelho","semáforo (verde/vermelho)","sim","nao","“Evacuação da área de risco: Em caso de risco será realizada a evacuação das famílias... Essa evacuação será realizada pela Defesa Civil Municipal e pela Assistência Social.” [ref_id:3][ref_id:8]","alta",""
"Tupanci do Sul","vermelho","semáforo (verde/vermelho)","nao","sim","Histórico da recorrência: Ocorrência frequente no ano de 2023 com vários eventos entre os meses de setembro a novembro","alta",""
"Tupanciretã","vermelho","semáforo (verde/vermelho)","sim","nao","""1. Objetivos do Plano: goal is to minimize disaster effects through dissemination of scientific/technological knowledge and training of human resources;"" e itens 5.1–5.8 que descrevem ações a serem desenvolvidas (ex.: ""Reunião com os membros, voluntários e entidades ligadas a Defesa Civil..."") — não há menção a simulado efetivamente realizado com data, ata, relatório ou número de participantes","alta",""
"Tupandi","vermelho","semáforo (verde/vermelho)","sim","N/A","5. Que ações devem ser desenvolvidas — descreve ações a serem tomadas em casos de enchentes, enxurradas, granizo, vendaval e deslizamentos, sem citar realização de simulado, apenas medidas e procedimentos a serem adotados (documento Plano de Contingência, Novembro/2023).","alta",""
"Turuçu","vermelho","semáforo (verde/vermelho)","nao","nao","Nenhuma menção de simulado realizado com data/ata/relatório ou nº de participantes encontrada no Plano de Contingência — o documento descreve procedimentos, acionamento, áreas de risco, ações a serem desenvolvidas e recursos/abrigos, sem indicar que um exercício de evacuação foi efetivamente realizado no passado [ref_id:0][ref_id:3][ref_id:5]","alta",""
"Unistalda","vermelho","semáforo (verde/vermelho)","sim","N/A","NÃO encontrei no documento menção a simulado/treinamento efetivamente realizado. O texto contém instruções de ativação do plano e atribuições (ex.: ""O Plano de Contingência ... será ativado sempre que forem constatadas as condições..."" [ref_id:0]) e orientações de obrigação/planejamento (ex.: ""deverão""/procedimentos e ações a serem desenvolvidas), sem descrição de simulados realizados, atas, relatórios ou número de participantes.","alta",""
"Vale Real","vermelho","semáforo (verde/vermelho)","sim","nao","“Simulações de evacuação e resposta a desastres;”[ref_id:2][ref_id:0] e “O COMPDEC é responsável por organizar reuniões periódicas de atualização e simulações práticas com todas as entidades envolvidas.”[ref_id:1] (não há menção a simulado efetivamente realizado com data, ata, relatório ou número de participantes)","alta",""
"Vale Verde","vermelho","semáforo (verde/vermelho)","sim","N/A","O documento descreve ações a serem desenvolvidas (ex.: ""Levar informação quanto ao risco de algum evento adverso""; ""Orientar e acolher os necessitados"") e quando deve ser desencadeado (ex.: ""o plano é acionado quando a defesa civil estadual emitir um aviso de risco""), sem indicar simulado/treinamento efetivamente realizado com data, ata, relatório ou nº de participantes","alta",""
"Vanini","vermelho","semáforo (verde/vermelho)","sim","nao","O Plano de Contingência (PLANCON) de Vanini lista atividades, responsáveis e espaços de abrigo e tem data de última atualização 07/01/2025, mas não apresenta registro de ""simulado"" realizado, ata, relatório ou número de participantes; o documento usa linguagem de ação/obrigação (ex.: ""Acionar os mecanismos para implantação do Plano de Contingência"") e descreve atividades de resposta reais, sem indicação de exercício concluído nem frase do tipo ""foi realizado o simulado em <data>"".","alta",""
"Venâncio Aires","vermelho","semáforo (verde/vermelho)","sim","nao","O Plano descreve procedimentos e prevê realização de ações/ativação e chamados (ex.: ""Após a decisão formal de ativar o Plano de Contingência, as seguintes medidas serão desencadeadas:"") e menciona convocação de órgãos e periodicidade/obrigações, mas não apresenta registro de simulado efetivamente realizado com data, ata, relatório ou número de participantes no documento recuperado. [ref_id:1][ref_id:5]","alta",""
"Vera Cruz","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado/treinamento efetivamente realizado; o documento descreve procedimentos, atribuições e que ""Serão deflagradas as atividades de acordo com o planejamento estabelecido para cada Cenário."" e prevê ativação do plano mediante eventos/alertas (""O PLANCON será ativado sempre que...""), sem registrar data, ata, relatório ou número de participantes de um simulado realizado.","alta",""
"Vespasiano Corrêa","vermelho","semáforo (verde/vermelho)","sim","nao","""Campanhas educativas e treinamentos comunitários""; ""Capacitação de voluntários e rotas de evacuação""; não há menção a data, ata, relatório ou número de participantes de simulado realizado.","alta",""
"Viadutos","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","baixa",""
"Viamão","vermelho","semáforo (verde/vermelho)","sim","nao","Este plano deve ser revisado e atualizado: - Anualmente, de forma ordinária; - Após cada ocorrência real, para incorporar lições aprendidas; - Quando houver alterações significativas... (procedimentos e acionamento descrevem evacuação e treinamentos como procedimentos a serem realizados, mas o documento não cita simulado efetivamente realizado, ata, relatório ou número de participantes).","alta",""
"Victor Graeff","vermelho","semáforo (verde/vermelho)","sim","nao","""instruções para manutenção do plano — instruem os órgãos envolvidos a realizarem exercícios e simulações, idealmente uma vez por ano; emitir relatório após cada exercício"" [ref_id:0]","alta",""
